"Notes"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	"Gender"	"Gender Code"	"Year"	"Year Code"	"ICD Chapter"	"ICD Chapter Code"	Deaths	Population	Crude Rate
	"< 1 year"	"1"	"Female"	"F"	"2000"	"2000"	"Diseases of the genitourinary system"	"N00-N98"	73	1856631	3.9
	"< 1 year"	"1"	"Female"	"F"	"2000"	"2000"	"Pregnancy, childbirth and the puerperium"	"O00-O99"	0	1856631	Unreliable
	"< 1 year"	"1"	"Female"	"F"	"2000"	"2000"	"Certain conditions originating in the perinatal period"	"P00-P96"	6046	1856631	325.6
	"< 1 year"	"1"	"Female"	"F"	"2000"	"2000"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	2715	1856631	146.2
	"< 1 year"	"1"	"Female"	"F"	"2000"	"2000"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	1483	1856631	79.9
	"< 1 year"	"1"	"Female"	"F"	"2000"	"2000"	"Codes for special purposes"	"U00-U99"	0	1856631	Unreliable
	"< 1 year"	"1"	"Female"	"F"	"2000"	"2000"	"External causes of morbidity and mortality"	"V01-Y89"	571	1856631	30.8
	"< 1 year"	"1"	"Female"	"F"	"2001"	"2001"	"Certain infectious and parasitic diseases"	"A00-B99"	259	1962905	13.2
	"< 1 year"	"1"	"Female"	"F"	"2001"	"2001"	"Neoplasms"	"C00-D48"	60	1962905	3.1
	"< 1 year"	"1"	"Female"	"F"	"2001"	"2001"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	47	1962905	2.4
	"< 1 year"	"1"	"Female"	"F"	"2001"	"2001"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	126	1962905	6.4
	"< 1 year"	"1"	"Female"	"F"	"2001"	"2001"	"Mental and behavioural disorders"	"F01-F99"	Suppressed	1962905	Suppressed
	"< 1 year"	"1"	"Female"	"F"	"2001"	"2001"	"Diseases of the nervous system"	"G00-G98"	153	1962905	7.8
	"< 1 year"	"1"	"Female"	"F"	"2001"	"2001"	"Diseases of the eye and adnexa"	"H00-H57"	0	1962905	Unreliable
	"< 1 year"	"1"	"Female"	"F"	"2001"	"2001"	"Diseases of the ear and mastoid process"	"H60-H93"	Suppressed	1962905	Suppressed
	"< 1 year"	"1"	"Female"	"F"	"2001"	"2001"	"Diseases of the circulatory system"	"I00-I99"	296	1962905	15.1
	"< 1 year"	"1"	"Female"	"F"	"2001"	"2001"	"Diseases of the respiratory system"	"J00-J98"	289	1962905	14.7
	"< 1 year"	"1"	"Female"	"F"	"2001"	"2001"	"Diseases of the digestive system"	"K00-K92"	202	1962905	10.3
	"< 1 year"	"1"	"Female"	"F"	"2001"	"2001"	"Diseases of the skin and subcutaneous tissue"	"L00-L98"	Suppressed	1962905	Suppressed
	"< 1 year"	"1"	"Female"	"F"	"2001"	"2001"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	Suppressed	1962905	Suppressed
	"< 1 year"	"1"	"Female"	"F"	"2001"	"2001"	"Diseases of the genitourinary system"	"N00-N98"	70	1962905	3.6
	"< 1 year"	"1"	"Female"	"F"	"2001"	"2001"	"Pregnancy, childbirth and the puerperium"	"O00-O99"	0	1962905	Unreliable
	"< 1 year"	"1"	"Female"	"F"	"2001"	"2001"	"Certain conditions originating in the perinatal period"	"P00-P96"	5959	1962905	303.6
	"< 1 year"	"1"	"Female"	"F"	"2001"	"2001"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	2559	1962905	130.4
	"< 1 year"	"1"	"Female"	"F"	"2001"	"2001"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	1450	1962905	73.9
	"< 1 year"	"1"	"Female"	"F"	"2001"	"2001"	"Codes for special purposes"	"U00-U99"	0	1962905	Unreliable
	"< 1 year"	"1"	"Female"	"F"	"2001"	"2001"	"External causes of morbidity and mortality"	"V01-Y89"	615	1962905	31.3
	"< 1 year"	"1"	"Female"	"F"	"2002"	"2002"	"Certain infectious and parasitic diseases"	"A00-B99"	276	1932939	14.3
	"< 1 year"	"1"	"Female"	"F"	"2002"	"2002"	"Neoplasms"	"C00-D48"	71	1932939	3.7
	"< 1 year"	"1"	"Female"	"F"	"2002"	"2002"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	30	1932939	1.6
	"< 1 year"	"1"	"Female"	"F"	"2002"	"2002"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	114	1932939	5.9
	"< 1 year"	"1"	"Female"	"F"	"2002"	"2002"	"Mental and behavioural disorders"	"F01-F99"	Suppressed	1932939	Suppressed
	"< 1 year"	"1"	"Female"	"F"	"2002"	"2002"	"Diseases of the nervous system"	"G00-G98"	154	1932939	8.0
	"< 1 year"	"1"	"Female"	"F"	"2002"	"2002"	"Diseases of the eye and adnexa"	"H00-H57"	Suppressed	1932939	Suppressed
	"< 1 year"	"1"	"Female"	"F"	"2002"	"2002"	"Diseases of the ear and mastoid process"	"H60-H93"	0	1932939	Unreliable
	"< 1 year"	"1"	"Female"	"F"	"2002"	"2002"	"Diseases of the circulatory system"	"I00-I99"	309	1932939	16.0
	"< 1 year"	"1"	"Female"	"F"	"2002"	"2002"	"Diseases of the respiratory system"	"J00-J98"	248	1932939	12.8
	"< 1 year"	"1"	"Female"	"F"	"2002"	"2002"	"Diseases of the digestive system"	"K00-K92"	197	1932939	10.2
	"< 1 year"	"1"	"Female"	"F"	"2002"	"2002"	"Diseases of the skin and subcutaneous tissue"	"L00-L98"	0	1932939	Unreliable
	"< 1 year"	"1"	"Female"	"F"	"2002"	"2002"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	Suppressed	1932939	Suppressed
	"< 1 year"	"1"	"Female"	"F"	"2002"	"2002"	"Diseases of the genitourinary system"	"N00-N98"	71	1932939	3.7
	"< 1 year"	"1"	"Female"	"F"	"2002"	"2002"	"Pregnancy, childbirth and the puerperium"	"O00-O99"	0	1932939	Unreliable
	"< 1 year"	"1"	"Female"	"F"	"2002"	"2002"	"Certain conditions originating in the perinatal period"	"P00-P96"	6146	1932939	318.0
	"< 1 year"	"1"	"Female"	"F"	"2002"	"2002"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	2681	1932939	138.7
	"< 1 year"	"1"	"Female"	"F"	"2002"	"2002"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	1424	1932939	73.7
	"< 1 year"	"1"	"Female"	"F"	"2002"	"2002"	"Codes for special purposes"	"U00-U99"	0	1932939	Unreliable
	"< 1 year"	"1"	"Female"	"F"	"2002"	"2002"	"External causes of morbidity and mortality"	"V01-Y89"	588	1932939	30.4
	"< 1 year"	"1"	"Female"	"F"	"2003"	"2003"	"Certain infectious and parasitic diseases"	"A00-B99"	237	1942634	12.2
	"< 1 year"	"1"	"Female"	"F"	"2003"	"2003"	"Neoplasms"	"C00-D48"	71	1942634	3.7
	"< 1 year"	"1"	"Female"	"F"	"2003"	"2003"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	45	1942634	2.3
	"< 1 year"	"1"	"Female"	"F"	"2003"	"2003"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	108	1942634	5.6
	"< 1 year"	"1"	"Female"	"F"	"2003"	"2003"	"Mental and behavioural disorders"	"F01-F99"	Suppressed	1942634	Suppressed
	"< 1 year"	"1"	"Female"	"F"	"2003"	"2003"	"Diseases of the nervous system"	"G00-G98"	176	1942634	9.1
	"< 1 year"	"1"	"Female"	"F"	"2003"	"2003"	"Diseases of the eye and adnexa"	"H00-H57"	0	1942634	Unreliable
	"< 1 year"	"1"	"Female"	"F"	"2003"	"2003"	"Diseases of the ear and mastoid process"	"H60-H93"	Suppressed	1942634	Suppressed
	"< 1 year"	"1"	"Female"	"F"	"2003"	"2003"	"Diseases of the circulatory system"	"I00-I99"	260	1942634	13.4
	"< 1 year"	"1"	"Female"	"F"	"2003"	"2003"	"Diseases of the respiratory system"	"J00-J98"	278	1942634	14.3
	"< 1 year"	"1"	"Female"	"F"	"2003"	"2003"	"Diseases of the digestive system"	"K00-K92"	212	1942634	10.9
	"< 1 year"	"1"	"Female"	"F"	"2003"	"2003"	"Diseases of the skin and subcutaneous tissue"	"L00-L98"	0	1942634	Unreliable
	"< 1 year"	"1"	"Female"	"F"	"2003"	"2003"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	Suppressed	1942634	Suppressed
	"< 1 year"	"1"	"Female"	"F"	"2003"	"2003"	"Diseases of the genitourinary system"	"N00-N98"	84	1942634	4.3
	"< 1 year"	"1"	"Female"	"F"	"2003"	"2003"	"Pregnancy, childbirth and the puerperium"	"O00-O99"	0	1942634	Unreliable
	"< 1 year"	"1"	"Female"	"F"	"2003"	"2003"	"Certain conditions originating in the perinatal period"	"P00-P96"	6125	1942634	315.3
	"< 1 year"	"1"	"Female"	"F"	"2003"	"2003"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	2601	1942634	133.9
	"< 1 year"	"1"	"Female"	"F"	"2003"	"2003"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	1344	1942634	69.2
	"< 1 year"	"1"	"Female"	"F"	"2003"	"2003"	"Codes for special purposes"	"U00-U99"	0	1942634	Unreliable
	"< 1 year"	"1"	"Female"	"F"	"2003"	"2003"	"External causes of morbidity and mortality"	"V01-Y89"	574	1942634	29.5
	"< 1 year"	"1"	"Female"	"F"	"2004"	"2004"	"Certain infectious and parasitic diseases"	"A00-B99"	192	1962216	9.8
	"< 1 year"	"1"	"Female"	"F"	"2004"	"2004"	"Neoplasms"	"C00-D48"	73	1962216	3.7
	"< 1 year"	"1"	"Female"	"F"	"2004"	"2004"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	35	1962216	1.8
	"< 1 year"	"1"	"Female"	"F"	"2004"	"2004"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	84	1962216	4.3
	"< 1 year"	"1"	"Female"	"F"	"2004"	"2004"	"Mental and behavioural disorders"	"F01-F99"	0	1962216	Unreliable
	"< 1 year"	"1"	"Female"	"F"	"2004"	"2004"	"Diseases of the nervous system"	"G00-G98"	159	1962216	8.1
	"< 1 year"	"1"	"Female"	"F"	"2004"	"2004"	"Diseases of the eye and adnexa"	"H00-H57"	0	1962216	Unreliable
	"< 1 year"	"1"	"Female"	"F"	"2004"	"2004"	"Diseases of the ear and mastoid process"	"H60-H93"	Suppressed	1962216	Suppressed
	"< 1 year"	"1"	"Female"	"F"	"2004"	"2004"	"Diseases of the circulatory system"	"I00-I99"	268	1962216	13.7
	"< 1 year"	"1"	"Female"	"F"	"2004"	"2004"	"Diseases of the respiratory system"	"J00-J98"	280	1962216	14.3
	"< 1 year"	"1"	"Female"	"F"	"2004"	"2004"	"Diseases of the digestive system"	"K00-K92"	255	1962216	13.0
	"< 1 year"	"1"	"Female"	"F"	"2004"	"2004"	"Diseases of the skin and subcutaneous tissue"	"L00-L98"	0	1962216	Unreliable
	"< 1 year"	"1"	"Female"	"F"	"2004"	"2004"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	Suppressed	1962216	Suppressed
	"< 1 year"	"1"	"Female"	"F"	"2004"	"2004"	"Diseases of the genitourinary system"	"N00-N98"	79	1962216	4.0
	"< 1 year"	"1"	"Female"	"F"	"2004"	"2004"	"Pregnancy, childbirth and the puerperium"	"O00-O99"	0	1962216	Unreliable
	"< 1 year"	"1"	"Female"	"F"	"2004"	"2004"	"Certain conditions originating in the perinatal period"	"P00-P96"	6066	1962216	309.1
	"< 1 year"	"1"	"Female"	"F"	"2004"	"2004"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	2724	1962216	138.8
	"< 1 year"	"1"	"Female"	"F"	"2004"	"2004"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	1340	1962216	68.3
	"< 1 year"	"1"	"Female"	"F"	"2004"	"2004"	"Codes for special purposes"	"U00-U99"	0	1962216	Unreliable
	"< 1 year"	"1"	"Female"	"F"	"2004"	"2004"	"External causes of morbidity and mortality"	"V01-Y89"	655	1962216	33.4
	"< 1 year"	"1"	"Female"	"F"	"2005"	"2005"	"Certain infectious and parasitic diseases"	"A00-B99"	222	1956682	11.3
	"< 1 year"	"1"	"Female"	"F"	"2005"	"2005"	"Neoplasms"	"C00-D48"	67	1956682	3.4
	"< 1 year"	"1"	"Female"	"F"	"2005"	"2005"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	37	1956682	1.9
	"< 1 year"	"1"	"Female"	"F"	"2005"	"2005"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	101	1956682	5.2
	"< 1 year"	"1"	"Female"	"F"	"2005"	"2005"	"Mental and behavioural disorders"	"F01-F99"	Suppressed	1956682	Suppressed
	"< 1 year"	"1"	"Female"	"F"	"2005"	"2005"	"Diseases of the nervous system"	"G00-G98"	138	1956682	7.1
	"< 1 year"	"1"	"Female"	"F"	"2005"	"2005"	"Diseases of the eye and adnexa"	"H00-H57"	Suppressed	1956682	Suppressed
	"< 1 year"	"1"	"Female"	"F"	"2005"	"2005"	"Diseases of the ear and mastoid process"	"H60-H93"	Suppressed	1956682	Suppressed
	"< 1 year"	"1"	"Female"	"F"	"2005"	"2005"	"Diseases of the circulatory system"	"I00-I99"	234	1956682	12.0
	"< 1 year"	"1"	"Female"	"F"	"2005"	"2005"	"Diseases of the respiratory system"	"J00-J98"	275	1956682	14.1
	"< 1 year"	"1"	"Female"	"F"	"2005"	"2005"	"Diseases of the digestive system"	"K00-K92"	238	1956682	12.2
	"< 1 year"	"1"	"Female"	"F"	"2005"	"2005"	"Diseases of the skin and subcutaneous tissue"	"L00-L98"	0	1956682	Unreliable
	"< 1 year"	"1"	"Female"	"F"	"2005"	"2005"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	Suppressed	1956682	Suppressed
	"< 1 year"	"1"	"Female"	"F"	"2005"	"2005"	"Diseases of the genitourinary system"	"N00-N98"	79	1956682	4.0
	"< 1 year"	"1"	"Female"	"F"	"2005"	"2005"	"Pregnancy, childbirth and the puerperium"	"O00-O99"	0	1956682	Unreliable
	"< 1 year"	"1"	"Female"	"F"	"2005"	"2005"	"Certain conditions originating in the perinatal period"	"P00-P96"	6310	1956682	322.5
	"< 1 year"	"1"	"Female"	"F"	"2005"	"2005"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	2587	1956682	132.2
	"< 1 year"	"1"	"Female"	"F"	"2005"	"2005"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	1450	1956682	74.1
	"< 1 year"	"1"	"Female"	"F"	"2005"	"2005"	"Codes for special purposes"	"U00-U99"	0	1956682	Unreliable
	"< 1 year"	"1"	"Female"	"F"	"2005"	"2005"	"External causes of morbidity and mortality"	"V01-Y89"	678	1956682	34.7
	"< 1 year"	"1"	"Female"	"F"	"2006"	"2006"	"Certain infectious and parasitic diseases"	"A00-B99"	220	1975919	11.1
	"< 1 year"	"1"	"Female"	"F"	"2006"	"2006"	"Neoplasms"	"C00-D48"	69	1975919	3.5
	"< 1 year"	"1"	"Female"	"F"	"2006"	"2006"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	44	1975919	2.2
	"< 1 year"	"1"	"Female"	"F"	"2006"	"2006"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	81	1975919	4.1
	"< 1 year"	"1"	"Female"	"F"	"2006"	"2006"	"Mental and behavioural disorders"	"F01-F99"	0	1975919	Unreliable
	"< 1 year"	"1"	"Female"	"F"	"2006"	"2006"	"Diseases of the nervous system"	"G00-G98"	163	1975919	8.2
	"< 1 year"	"1"	"Female"	"F"	"2006"	"2006"	"Diseases of the eye and adnexa"	"H00-H57"	Suppressed	1975919	Suppressed
	"< 1 year"	"1"	"Female"	"F"	"2006"	"2006"	"Diseases of the ear and mastoid process"	"H60-H93"	0	1975919	Unreliable
	"< 1 year"	"1"	"Female"	"F"	"2006"	"2006"	"Diseases of the circulatory system"	"I00-I99"	242	1975919	12.2
	"< 1 year"	"1"	"Female"	"F"	"2006"	"2006"	"Diseases of the respiratory system"	"J00-J98"	277	1975919	14.0
	"< 1 year"	"1"	"Female"	"F"	"2006"	"2006"	"Diseases of the digestive system"	"K00-K92"	249	1975919	12.6
	"< 1 year"	"1"	"Female"	"F"	"2006"	"2006"	"Diseases of the skin and subcutaneous tissue"	"L00-L98"	Suppressed	1975919	Suppressed
	"< 1 year"	"1"	"Female"	"F"	"2006"	"2006"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	Suppressed	1975919	Suppressed
	"< 1 year"	"1"	"Female"	"F"	"2006"	"2006"	"Diseases of the genitourinary system"	"N00-N98"	64	1975919	3.2
	"< 1 year"	"1"	"Female"	"F"	"2006"	"2006"	"Pregnancy, childbirth and the puerperium"	"O00-O99"	0	1975919	Unreliable
	"< 1 year"	"1"	"Female"	"F"	"2006"	"2006"	"Certain conditions originating in the perinatal period"	"P00-P96"	6296	1975919	318.6
	"< 1 year"	"1"	"Female"	"F"	"2006"	"2006"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	2721	1975919	137.7
	"< 1 year"	"1"	"Female"	"F"	"2006"	"2006"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	1450	1975919	73.4
	"< 1 year"	"1"	"Female"	"F"	"2006"	"2006"	"Codes for special purposes"	"U00-U99"	0	1975919	Unreliable
	"< 1 year"	"1"	"Female"	"F"	"2006"	"2006"	"External causes of morbidity and mortality"	"V01-Y89"	662	1975919	33.5
	"< 1 year"	"1"	"Female"	"F"	"2007"	"2007"	"Certain infectious and parasitic diseases"	"A00-B99"	221	2027181	10.9
	"< 1 year"	"1"	"Female"	"F"	"2007"	"2007"	"Neoplasms"	"C00-D48"	68	2027181	3.4
	"< 1 year"	"1"	"Female"	"F"	"2007"	"2007"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	49	2027181	2.4
	"< 1 year"	"1"	"Female"	"F"	"2007"	"2007"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	104	2027181	5.1
	"< 1 year"	"1"	"Female"	"F"	"2007"	"2007"	"Mental and behavioural disorders"	"F01-F99"	0	2027181	Unreliable
	"< 1 year"	"1"	"Female"	"F"	"2007"	"2007"	"Diseases of the nervous system"	"G00-G98"	194	2027181	9.6
	"< 1 year"	"1"	"Female"	"F"	"2007"	"2007"	"Diseases of the eye and adnexa"	"H00-H57"	0	2027181	Unreliable
	"< 1 year"	"1"	"Female"	"F"	"2007"	"2007"	"Diseases of the ear and mastoid process"	"H60-H93"	Suppressed	2027181	Suppressed
	"< 1 year"	"1"	"Female"	"F"	"2007"	"2007"	"Diseases of the circulatory system"	"I00-I99"	270	2027181	13.3
	"< 1 year"	"1"	"Female"	"F"	"2007"	"2007"	"Diseases of the respiratory system"	"J00-J98"	251	2027181	12.4
	"< 1 year"	"1"	"Female"	"F"	"2007"	"2007"	"Diseases of the digestive system"	"K00-K92"	269	2027181	13.3
	"< 1 year"	"1"	"Female"	"F"	"2007"	"2007"	"Diseases of the skin and subcutaneous tissue"	"L00-L98"	0	2027181	Unreliable
	"< 1 year"	"1"	"Female"	"F"	"2007"	"2007"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	Suppressed	2027181	Suppressed
	"< 1 year"	"1"	"Female"	"F"	"2007"	"2007"	"Diseases of the genitourinary system"	"N00-N98"	84	2027181	4.1
	"< 1 year"	"1"	"Female"	"F"	"2007"	"2007"	"Pregnancy, childbirth and the puerperium"	"O00-O99"	0	2027181	Unreliable
	"< 1 year"	"1"	"Female"	"F"	"2007"	"2007"	"Certain conditions originating in the perinatal period"	"P00-P96"	6326	2027181	312.1
	"< 1 year"	"1"	"Female"	"F"	"2007"	"2007"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	2719	2027181	134.1
	"< 1 year"	"1"	"Female"	"F"	"2007"	"2007"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	1519	2027181	74.9
	"< 1 year"	"1"	"Female"	"F"	"2007"	"2007"	"Codes for special purposes"	"U00-U99"	0	2027181	Unreliable
	"< 1 year"	"1"	"Female"	"F"	"2007"	"2007"	"External causes of morbidity and mortality"	"V01-Y89"	761	2027181	37.5
	"< 1 year"	"1"	"Female"	"F"	"2008"	"2008"	"Certain infectious and parasitic diseases"	"A00-B99"	223	2022889	11.0
	"< 1 year"	"1"	"Female"	"F"	"2008"	"2008"	"Neoplasms"	"C00-D48"	57	2022889	2.8
	"< 1 year"	"1"	"Female"	"F"	"2008"	"2008"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	37	2022889	1.8
	"< 1 year"	"1"	"Female"	"F"	"2008"	"2008"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	119	2022889	5.9
	"< 1 year"	"1"	"Female"	"F"	"2008"	"2008"	"Mental and behavioural disorders"	"F01-F99"	Suppressed	2022889	Suppressed
	"< 1 year"	"1"	"Female"	"F"	"2008"	"2008"	"Diseases of the nervous system"	"G00-G98"	192	2022889	9.5
	"< 1 year"	"1"	"Female"	"F"	"2008"	"2008"	"Diseases of the eye and adnexa"	"H00-H57"	Suppressed	2022889	Suppressed
	"< 1 year"	"1"	"Female"	"F"	"2008"	"2008"	"Diseases of the ear and mastoid process"	"H60-H93"	Suppressed	2022889	Suppressed
	"< 1 year"	"1"	"Female"	"F"	"2008"	"2008"	"Diseases of the circulatory system"	"I00-I99"	265	2022889	13.1
	"< 1 year"	"1"	"Female"	"F"	"2008"	"2008"	"Diseases of the respiratory system"	"J00-J98"	242	2022889	12.0
	"< 1 year"	"1"	"Female"	"F"	"2008"	"2008"	"Diseases of the digestive system"	"K00-K92"	271	2022889	13.4
	"< 1 year"	"1"	"Female"	"F"	"2008"	"2008"	"Diseases of the skin and subcutaneous tissue"	"L00-L98"	Suppressed	2022889	Suppressed
	"< 1 year"	"1"	"Female"	"F"	"2008"	"2008"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	Suppressed	2022889	Suppressed
	"< 1 year"	"1"	"Female"	"F"	"2008"	"2008"	"Diseases of the genitourinary system"	"N00-N98"	88	2022889	4.4
	"< 1 year"	"1"	"Female"	"F"	"2008"	"2008"	"Pregnancy, childbirth and the puerperium"	"O00-O99"	0	2022889	Unreliable
	"< 1 year"	"1"	"Female"	"F"	"2008"	"2008"	"Certain conditions originating in the perinatal period"	"P00-P96"	5953	2022889	294.3
	"< 1 year"	"1"	"Female"	"F"	"2008"	"2008"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	2671	2022889	132.0
