Population,Five-Year Age Groups,Gender,Year
10864197,10-14 years,Male,2005
10771194,10-14 years,Male,2006
10670960,10-14 years,Male,2007
10598181,10-14 years,Male,2008
10571832,10-14 years,Male,2009
10579862,10-14 years,Male,2010
10587030,10-14 years,Male,2011
10567214,10-14 years,Male,2012
10552523,10-14 years,Male,2013
10551219,10-14 years,Male,2014
10520388,10-14 years,Male,2015
10518732,10-14 years,Male,2016
10605072,10-14 years,Male,2017
10658840,10-14 years,Male,2018
10618261,10-14 years,Male,2019
10594968,10-14 years,Male,2020
9761569,15-19 years,Female,1999
9828886,15-19 years,Female,2000
9908897,15-19 years,Female,2001
9981879,15-19 years,Female,2002
10086567,15-19 years,Female,2003
10242793,15-19 years,Female,2004
10434789,15-19 years,Female,2005
10597293,15-19 years,Female,2006
10731326,15-19 years,Female,2007
10805148,15-19 years,Female,2008
10804571,15-19 years,Female,2009
10736677,15-19 years,Female,2010
10525097,15-19 years,Female,2011
10397841,15-19 years,Female,2012
10312774,15-19 years,Female,2013
10283624,15-19 years,Female,2014
10311036,15-19 years,Female,2015
10328153,15-19 years,Female,2016
10331169,15-19 years,Female,2017
10322313,15-19 years,Female,2018
10308963,15-19 years,Female,2019
10266332,15-19 years,Female,2020
10323033,15-19 years,Male,1999
10391004,15-19 years,Male,2000
10547387,15-19 years,Male,2001
10628491,15-19 years,Male,2002
10710599,15-19 years,Male,2003
10859759,15-19 years,Male,2004
11051425,15-19 years,Male,2005
11210416,15-19 years,Male,2006
11336490,15-19 years,Male,2007
11405732,15-19 years,Male,2008
11388239,15-19 years,Male,2009
11303666,15-19 years,Male,2010
11118946,15-19 years,Male,2011
10962861,15-19 years,Male,2012
10846190,15-19 years,Male,2013
10784023,15-19 years,Male,2014
10797867,15-19 years,Male,2015
10801846,15-19 years,Male,2016
10800491,15-19 years,Male,2017
10774908,15-19 years,Male,2018
10745607,15-19 years,Male,2019
10694597,15-19 years,Male,2020
9098615,20-24 years,Female,1999
9276187,20-24 years,Female,2000
9676950,20-24 years,Female,2001
9916245,20-24 years,Female,2002
10093723,20-24 years,Female,2003
10190641,20-24 years,Female,2004
10222806,20-24 years,Female,2005
10238784,20-24 years,Female,2006
10270163,20-24 years,Female,2007
10339566,20-24 years,Female,2008
10459413,20-24 years,Female,2009
10571823,20-24 years,Female,2010
10841132,20-24 years,Female,2011
11033747,20-24 years,Female,2012
11116473,20-24 years,Female,2013
11172747,20-24 years,Female,2014
11071459,20-24 years,Female,2015
10889963,20-24 years,Female,2016
10769493,20-24 years,Female,2017
10672032,20-24 years,Female,2018
10568188,20-24 years,Female,2019
10561909,20-24 years,Female,2020
9492814,20-24 years,Male,1999
9687814,20-24 years,Male,2000
10080336,20-24 years,Male,2001
10327520,20-24 years,Male,2002
10497965,20-24 years,Male,2003
10654919,20-24 years,Male,2004
10737149,20-24 years,Male,2005
10797351,20-24 years,Male,2006
10807836,20-24 years,Male,2007
10841046,20-24 years,Male,2008
10924709,20-24 years,Male,2009
11014176,20-24 years,Male,2010
11312700,20-24 years,Male,2011
11549456,20-24 years,Male,2012
11678965,20-24 years,Male,2013
11739427,20-24 years,Male,2014
11667854,20-24 years,Male,2015
11491065,20-24 years,Male,2016
11349142,20-24 years,Male,2017
11201547,20-24 years,Male,2018
11064752,20-24 years,Male,2019
11032846,20-24 years,Male,2020
9695967,25-29 years,Female,1999
9582576,25-29 years,Female,2000
9303113,25-29 years,Female,2001
9248586,25-29 years,Female,2002
9307104,25-29 years,Female,2003
9479080,25-29 years,Female,2004
9712544,25-29 years,Female,2005
10393532,25-29 years,Female,2008
10466258,25-29 years,Female,2010
10553440,25-29 years,Female,2012
10620319,25-29 years,Female,2013
11052155,25-29 years,Female,2015
11259410,25-29 years,Female,2016
11468230,25-29 years,Female,2017
11542918,25-29 years,Female,2018
11504446,25-29 years,Female,2019
11356117,25-29 years,Female,2020
9798760,25-29 years,Male,2000
9516234,25-29 years,Male,2001
9442754,25-29 years,Male,2002
9464481,25-29 years,Male,2003
9627975,25-29 years,Male,2004
9822166,25-29 years,Male,2005
10095589,25-29 years,Male,2006
10313439,25-29 years,Male,2007
10509136,25-29 years,Male,2008
10611357,25-29 years,Male,2009
10635591,25-29 years,Male,2010
10761515,25-29 years,Male,2011
10844886,25-29 years,Male,2012
10959879,25-29 years,Male,2013
11631474,25-29 years,Male,2016
12018838,25-29 years,Male,2018
12004570,25-29 years,Male,2019
11875126,25-29 years,Male,2020
10249123,30-34 years,Female,1999
10263930,30-34 years,Female,2001
10270193,30-34 years,Female,2002
10041145,30-34 years,Female,2004
9835154,30-34 years,Female,2005
9611918,30-34 years,Female,2006
9625879,30-34 years,Female,2008
9800559,30-34 years,Female,2009
9965599,30-34 years,Female,2010
10228056,30-34 years,Female,2011
10582777,30-34 years,Female,2013
10785909,30-34 years,Female,2015
10818095,30-34 years,Female,2016
10944147,30-34 years,Female,2018
11076695,30-34 years,Female,2019
10354226,30-34 years,Male,1999
10321769,30-34 years,Male,2000
10388113,30-34 years,Male,2002
10278392,30-34 years,Male,2003
10118356,30-34 years,Male,2004
9888783,30-34 years,Male,2005
9673250,30-34 years,Male,2006
9678926,30-34 years,Male,2008
9996500,30-34 years,Male,2010
10493906,30-34 years,Male,2012
10681612,30-34 years,Male,2013
10808825,30-34 years,Male,2014
10889739,30-34 years,Male,2015
10968264,30-34 years,Male,2016
11191871,30-34 years,Male,2018
11354610,30-34 years,Male,2019
11569253,30-34 years,Male,2020
11387968,35-39 years,Female,2000
11141510,35-39 years,Female,2001
10903446,35-39 years,Female,2002
10489448,35-39 years,Female,2006
10502839,35-39 years,Female,2007
10437809,35-39 years,Female,2008
9832998,35-39 years,Female,2011
9818501,35-39 years,Female,2013
9981814,35-39 years,Female,2014
10201161,35-39 years,Female,2015
10397463,35-39 years,Female,2016
10773397,35-39 years,Female,2018
10852580,35-39 years,Female,2019
11408395,35-39 years,Male,1999
11094408,35-39 years,Male,2001
10847772,35-39 years,Male,2002
10604058,35-39 years,Male,2003
10421329,35-39 years,Male,2004
10387033,35-39 years,Male,2005
10451785,35-39 years,Male,2006
10461052,35-39 years,Male,2007
10379654,35-39 years,Male,2008
10042022,35-39 years,Male,2010
9714613,35-39 years,Male,2012
9939836,35-39 years,Male,2014
10173424,35-39 years,Male,2015
10376442,35-39 years,Male,2016
10615985,35-39 years,Male,2017
10790190,35-39 years,Male,2018
11195450,40-44 years,Female,1999
11500919,40-44 years,Female,2001
11536009,40-44 years,Female,2002
11546602,40-44 years,Female,2003
11562414,40-44 years,Female,2004
11453723,40-44 years,Female,2005
11238163,40-44 years,Female,2006
10757924,40-44 years,Female,2008
10496987,40-44 years,Female,2010
10571486,40-44 years,Female,2011
10569227,40-44 years,Female,2012
9919930,40-44 years,Female,2016
9890258,40-44 years,Female,2017
10199608,40-44 years,Female,2020
11129102,40-44 years,Male,2000
11314915,40-44 years,Male,2001
11353422,40-44 years,Male,2002
11363212,40-44 years,Male,2004
11253162,40-44 years,Male,2005
10833176,40-44 years,Male,2007
10617099,40-44 years,Male,2008
10393977,40-44 years,Male,2010
10462159,40-44 years,Male,2011
10458994,40-44 years,Male,2012
10219393,40-44 years,Male,2014
9753115,40-44 years,Male,2017
9797410,40-44 years,Male,2018
9907139,40-44 years,Male,2019
10108280,40-44 years,Male,2020
11017265,45-49 years,Female,2003
11184506,45-49 years,Female,2004
11357088,45-49 years,Female,2005
11505455,45-49 years,Female,2006
11542213,45-49 years,Female,2007
11499506,45-49 years,Female,2010
11205304,45-49 years,Female,2011
10710188,45-49 years,Female,2013
10540579,45-49 years,Female,2014
10518915,45-49 years,Female,2015
10571668,45-49 years,Female,2016
10587683,45-49 years,Female,2017
9666473,45-49 years,Male,1999
9889506,45-49 years,Male,2000
10193034,45-49 years,Male,2001
10466497,45-49 years,Male,2002
10880756,45-49 years,Male,2004
11060083,45-49 years,Male,2005
11209831,45-49 years,Male,2006
11257548,45-49 years,Male,2007
11263990,45-49 years,Male,2008
11285671,45-49 years,Male,2009
10952701,45-49 years,Male,2011
10726625,45-49 years,Male,2012
10498118,45-49 years,Male,2013
10334929,45-49 years,Male,2015
10386175,45-49 years,Male,2017
10263995,45-49 years,Male,2018
10085355,45-49 years,Male,2019
9872904,45-49 years,Male,2020
9999623,50-54 years,Female,2004
10506120,50-54 years,Female,2006
11040553,50-54 years,Female,2008
11364851,50-54 years,Female,2010
11499014,50-54 years,Female,2012
11488260,50-54 years,Female,2013
11493228,50-54 years,Female,2014
11370470,50-54 years,Female,2015
10880912,50-54 years,Female,2017
10607357,50-54 years,Female,2018
10390540,50-54 years,Female,2019
10343739,50-54 years,Female,2020
8607724,50-54 years,Male,2000
9146153,50-54 years,Male,2001
9337624,50-54 years,Male,2003
9821292,50-54 years,Male,2005
10344429,50-54 years,Male,2007
10598921,50-54 years,Male,2008
10783563,50-54 years,Male,2009
10933274,50-54 years,Male,2010
11080245,50-54 years,Male,2012
11070966,50-54 years,Male,2013
11077581,50-54 years,Male,2014
10963847,50-54 years,Male,2015
10730184,50-54 years,Male,2016
10520182,50-54 years,Male,2017
10051788,50-54 years,Male,2020
6765034,55-59 years,Female,1999
6960508,55-59 years,Female,2000
7209396,55-59 years,Female,2001
10141157,55-59 years,Female,2010
10439497,55-59 years,Female,2011
10912048,55-59 years,Female,2013
11067461,55-59 years,Female,2014
11210375,55-59 years,Female,2015
11307436,55-59 years,Female,2017
11271658,55-59 years,Female,2018
11234902,55-59 years,Female,2019
11091171,55-59 years,Female,2020
6759579,55-59 years,Male,2001
7341077,55-59 years,Male,2002
8059227,55-59 years,Male,2004
8495361,55-59 years,Male,2005
8923795,55-59 years,Male,2006
8945299,55-59 years,Male,2007
9112330,55-59 years,Male,2008
9334386,55-59 years,Male,2009
10068409,55-59 years,Male,2012
10282382,55-59 years,Male,2013
10443988,55-59 years,Male,2014
10700520,55-59 years,Male,2017
10669327,55-59 years,Male,2018
10511928,55-59 years,Male,2020
5613729,60-64 years ,Female,1999
5668820,60-64 years ,Female,2000
6860551,60-64 years ,Female,2005
7979525,60-64 years ,Female,2008
9688238,60-64 years ,Female,2014
9952697,60-64 years ,Female,2015
10167404,60-64 years ,Female,2016
10430419,60-64 years ,Female,2017
10602115,60-64 years ,Female,2018
10823072,60-64 years ,Female,2020
5079476,60-64 years ,Male,1999
6060330,60-64 years ,Male,2004
7034464,60-64 years ,Male,2007
7362970,60-64 years ,Male,2008
8077500,60-64 years ,Male,2010
8542154,60-64 years ,Male,2011
8877894,60-64 years ,Male,2014
9117180,60-64 years ,Male,2015
9315632,60-64 years ,Male,2016
9557283,60-64 years ,Male,2017
9729536,60-64 years ,Male,2018
9856730,60-64 years ,Male,2019
9977506,60-64 years ,Male,2020
5141988,65-69 years,Female,1999
5134618,65-69 years,Female,2001
5163814,65-69 years,Female,2002
6801858,65-69 years,Female,2011
7695527,65-69 years,Female,2013
8883164,65-69 years,Female,2016
9052080,65-69 years,Female,2018
9483316,65-69 years,Female,2020
4427615,65-69 years,Male,2001
4703011,65-69 years,Male,2004
5684499,65-69 years,Male,2009
5852547,65-69 years,Male,2010
6606856,65-69 years,Male,2012
7249106,65-69 years,Male,2014
7596190,65-69 years,Male,2015
7936919,65-69 years,Male,2016
7929868,65-69 years,Male,2017
8034813,65-69 years,Male,2018
8199773,65-69 years,Male,2019
8390351,65-69 years,Male,2020
4852844,70-74 years,Female,2002
5723597,70-74 years,Female,2013
7528626,70-74 years,Female,2019
7882542,70-74 years,Female,2020
3893975,70-74 years,Male,1999
3913438,70-74 years,Male,2001
3897210,70-74 years,Male,2002
3875623,70-74 years,Male,2003
3957495,70-74 years,Male,2007
4054996,70-74 years,Male,2008
4173443,70-74 years,Male,2009
4404383,70-74 years,Male,2011
5947272,70-74 years,Male,2017
6211272,70-74 years,Male,2018
4198131,75-79 years,Female,2012
3011385,75-79 years,Male,1999
3077254,75-79 years,Male,2001
3140080,75-79 years,Male,2004
3164353,75-79 years,Male,2005
3175139,75-79 years,Male,2007
3167246,75-79 years,Male,2008
3291452,75-79 years,Male,2012
3511566,75-79 years,Male,2014
3295412,80-84 years,Female,2002
3463549,80-84 years,Female,2006
3477946,80-84 years,Female,2008
3448953,80-84 years,Female,2010
3446248,80-84 years,Female,2011
3398468,80-84 years,Female,2013
3412384,80-84 years,Female,2016
3456231,80-84 years,Female,2017
1998991,80-84 years,Male,2002
2184568,80-84 years,Male,2006
2272851,80-84 years,Male,2009
2356698,80-84 years,Male,2012
2370170,80-84 years,Male,2013
1742991,< 1 year,Female,2021
7459995,1-4 years,Female,2021
9915390,5-9 years,Female,2021
10459561,10-14 years,Female,2021
10541690,15-19 years,Female,2021
10550759,20-24 years,Female,2021
11013419,25-29 years,Female,2021
11428324,30-34 years,Female,2021
10470724,50-54 years,Female,2021
5432359,75-79 years,Female,2021
1800246,< 1 year,Female,2022
7263012,1-4 years,Female,2022
9777249,5-9 years,Female,2022
10187986,10-14 years,Female,2022
10553749,15-19 years,Female,2022
10840422,25-29 years,Female,2022
10609527,40-44 years,Female,2022
9779109,45-49 years,Female,2022
10372906,50-54 years,Female,2022
10820443,60-64 years ,Female,2022
8120246,70-74 years,Female,2022
3834386,80-84 years,Female,2022
1821502,< 1 year,Male,2021
7802850,1-4 years,Male,2021
10376158,5-9 years,Male,2021
10988223,10-14 years,Male,2021
11022976,15-19 years,Male,2021
10973238,20-24 years,Male,2021
11379058,25-29 years,Male,2021
11674304,30-34 years,Male,2021
11263833,35-39 years,Male,2021
10593780,40-44 years,Male,2021
9875757,45-49 years,Male,2021
10436202,50-54 years,Male,2021
10630059,55-59 years,Male,2021
10333259,60-64 years ,Male,2021
8748213,65-69 years,Male,2021
1882867,< 1 year,Male,2022
7592228,1-4 years,Male,2022
10231946,5-9 years,Male,2022
10701853,10-14 years,Male,2022
11082043,15-19 years,Male,2022
11601988,20-24 years,Male,2022
11352742,25-29 years,Male,2022
11836820,30-34 years,Male,2022
11302300,35-39 years,Male,2022
10817889,40-44 years,Male,2022
9844989,45-49 years,Male,2022
10373923,55-59 years,Male,2022
10297980,60-64 years ,Male,2022
8873901,65-69 years,Male,2022
7036771,70-74 years,Male,2022
