"Notes"	"Gender"	"Gender Code"	"Year"	"Year Code"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	"ICD Chapter"	"ICD Chapter Code"	Deaths	Population	Crude Rate
	"Female"	"F"	"2021"	"2021"	"20-24 years"	"20-24"	"Diseases of the circulatory system"	"I00-I99"	300	10550759	2.8
	"Female"	"F"	"2021"	"2021"	"20-24 years"	"20-24"	"Diseases of the respiratory system"	"J00-J98"	128	10550759	1.2
	"Female"	"F"	"2021"	"2021"	"20-24 years"	"20-24"	"Diseases of the digestive system"	"K00-K92"	82	10550759	0.8
	"Female"	"F"	"2021"	"2021"	"20-24 years"	"20-24"	"Diseases of the skin and subcutaneous tissue"	"L00-L98"	10	10550759	Unreliable
	"Female"	"F"	"2021"	"2021"	"20-24 years"	"20-24"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	52	10550759	0.5
	"Female"	"F"	"2021"	"2021"	"20-24 years"	"20-24"	"Diseases of the genitourinary system"	"N00-N98"	33	10550759	0.3
	"Female"	"F"	"2021"	"2021"	"20-24 years"	"20-24"	"Pregnancy, childbirth and the puerperium"	"O00-O99"	180	10550759	1.7
	"Female"	"F"	"2021"	"2021"	"20-24 years"	"20-24"	"Certain conditions originating in the perinatal period"	"P00-P96"	Suppressed	10550759	Suppressed
	"Female"	"F"	"2021"	"2021"	"20-24 years"	"20-24"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	93	10550759	0.9
	"Female"	"F"	"2021"	"2021"	"20-24 years"	"20-24"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	116	10550759	1.1
	"Female"	"F"	"2021"	"2021"	"20-24 years"	"20-24"	"Codes for special purposes"	"U00-U99"	426	10550759	4.0
	"Female"	"F"	"2021"	"2021"	"20-24 years"	"20-24"	"External causes of morbidity and mortality"	"V01-Y89"	4385	10550759	41.6
	"Female"	"F"	"2021"	"2021"	"25-29 years"	"25-29"	"Certain infectious and parasitic diseases"	"A00-B99"	162	11013419	1.5
	"Female"	"F"	"2021"	"2021"	"25-29 years"	"25-29"	"Neoplasms"	"C00-D48"	614	11013419	5.6
	"Female"	"F"	"2021"	"2021"	"25-29 years"	"25-29"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	51	11013419	0.5
	"Female"	"F"	"2021"	"2021"	"25-29 years"	"25-29"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	369	11013419	3.4
	"Female"	"F"	"2021"	"2021"	"25-29 years"	"25-29"	"Mental and behavioural disorders"	"F01-F99"	188	11013419	1.7
	"Female"	"F"	"2021"	"2021"	"25-29 years"	"25-29"	"Diseases of the nervous system"	"G00-G98"	242	11013419	2.2
	"Female"	"F"	"2021"	"2021"	"25-29 years"	"25-29"	"Diseases of the eye and adnexa"	"H00-H57"	0	11013419	Unreliable
	"Female"	"F"	"2021"	"2021"	"25-29 years"	"25-29"	"Diseases of the ear and mastoid process"	"H60-H93"	0	11013419	Unreliable
	"Female"	"F"	"2021"	"2021"	"25-29 years"	"25-29"	"Diseases of the circulatory system"	"I00-I99"	611	11013419	5.5
	"Female"	"F"	"2021"	"2021"	"25-29 years"	"25-29"	"Diseases of the respiratory system"	"J00-J98"	181	11013419	1.6
	"Female"	"F"	"2021"	"2021"	"25-29 years"	"25-29"	"Diseases of the digestive system"	"K00-K92"	293	11013419	2.7
	"Female"	"F"	"2021"	"2021"	"25-29 years"	"25-29"	"Diseases of the skin and subcutaneous tissue"	"L00-L98"	14	11013419	Unreliable
	"Female"	"F"	"2021"	"2021"	"25-29 years"	"25-29"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	73	11013419	0.7
	"Female"	"F"	"2021"	"2021"	"25-29 years"	"25-29"	"Diseases of the genitourinary system"	"N00-N98"	77	11013419	0.7
	"Female"	"F"	"2021"	"2021"	"25-29 years"	"25-29"	"Pregnancy, childbirth and the puerperium"	"O00-O99"	341	11013419	3.1
	"Female"	"F"	"2021"	"2021"	"25-29 years"	"25-29"	"Certain conditions originating in the perinatal period"	"P00-P96"	Suppressed	11013419	Suppressed
	"Female"	"F"	"2021"	"2021"	"25-29 years"	"25-29"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	81	11013419	0.7
	"Female"	"F"	"2021"	"2021"	"25-29 years"	"25-29"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	181	11013419	1.6
	"Female"	"F"	"2021"	"2021"	"25-29 years"	"25-29"	"Codes for special purposes"	"U00-U99"	759	11013419	6.9
	"Female"	"F"	"2021"	"2021"	"25-29 years"	"25-29"	"External causes of morbidity and mortality"	"V01-Y89"	5564	11013419	50.5
	"Female"	"F"	"2021"	"2021"	"30-34 years"	"30-34"	"Certain infectious and parasitic diseases"	"A00-B99"	257	11428324	2.2
	"Female"	"F"	"2021"	"2021"	"30-34 years"	"30-34"	"Neoplasms"	"C00-D48"	1291	11428324	11.3
	"Female"	"F"	"2021"	"2021"	"30-34 years"	"30-34"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	82	11428324	0.7
	"Female"	"F"	"2021"	"2021"	"30-34 years"	"30-34"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	548	11428324	4.8
	"Female"	"F"	"2021"	"2021"	"30-34 years"	"30-34"	"Mental and behavioural disorders"	"F01-F99"	388	11428324	3.4
	"Female"	"F"	"2021"	"2021"	"30-34 years"	"30-34"	"Diseases of the nervous system"	"G00-G98"	357	11428324	3.1
	"Female"	"F"	"2021"	"2021"	"30-34 years"	"30-34"	"Diseases of the eye and adnexa"	"H00-H57"	Suppressed	11428324	Suppressed
	"Female"	"F"	"2021"	"2021"	"30-34 years"	"30-34"	"Diseases of the ear and mastoid process"	"H60-H93"	0	11428324	Unreliable
	"Female"	"F"	"2021"	"2021"	"30-34 years"	"30-34"	"Diseases of the circulatory system"	"I00-I99"	1278	11428324	11.2
	"Female"	"F"	"2021"	"2021"	"30-34 years"	"30-34"	"Diseases of the respiratory system"	"J00-J98"	288	11428324	2.5
	"Female"	"F"	"2021"	"2021"	"30-34 years"	"30-34"	"Diseases of the digestive system"	"K00-K92"	810	11428324	7.1
	"Female"	"F"	"2021"	"2021"	"30-34 years"	"30-34"	"Diseases of the skin and subcutaneous tissue"	"L00-L98"	16	11428324	Unreliable
	"Female"	"F"	"2021"	"2021"	"30-34 years"	"30-34"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	94	11428324	0.8
	"Female"	"F"	"2021"	"2021"	"30-34 years"	"30-34"	"Diseases of the genitourinary system"	"N00-N98"	145	11428324	1.3
	"Female"	"F"	"2021"	"2021"	"30-34 years"	"30-34"	"Pregnancy, childbirth and the puerperium"	"O00-O99"	456	11428324	4.0
	"Female"	"F"	"2021"	"2021"	"30-34 years"	"30-34"	"Certain conditions originating in the perinatal period"	"P00-P96"	Suppressed	11428324	Suppressed
	"Female"	"F"	"2021"	"2021"	"30-34 years"	"30-34"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	110	11428324	1.0
	"Female"	"F"	"2021"	"2021"	"30-34 years"	"30-34"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	250	11428324	2.2
	"Female"	"F"	"2021"	"2021"	"30-34 years"	"30-34"	"Codes for special purposes"	"U00-U99"	1501	11428324	13.1
	"Female"	"F"	"2021"	"2021"	"30-34 years"	"30-34"	"External causes of morbidity and mortality"	"V01-Y89"	6687	11428324	58.5
	"Female"	"F"	"2021"	"2021"	"35-39 years"	"35-39"	"Certain infectious and parasitic diseases"	"A00-B99"	412	11035485	3.7
	"Female"	"F"	"2021"	"2021"	"35-39 years"	"35-39"	"Neoplasms"	"C00-D48"	2444	11035485	22.1
	"Female"	"F"	"2021"	"2021"	"35-39 years"	"35-39"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	125	11035485	1.1
	"Female"	"F"	"2021"	"2021"	"35-39 years"	"35-39"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	805	11035485	7.3
	"Female"	"F"	"2021"	"2021"	"35-39 years"	"35-39"	"Mental and behavioural disorders"	"F01-F99"	487	11035485	4.4
	"Female"	"F"	"2021"	"2021"	"35-39 years"	"35-39"	"Diseases of the nervous system"	"G00-G98"	416	11035485	3.8
	"Female"	"F"	"2021"	"2021"	"35-39 years"	"35-39"	"Diseases of the eye and adnexa"	"H00-H57"	0	11035485	Unreliable
	"Female"	"F"	"2021"	"2021"	"35-39 years"	"35-39"	"Diseases of the ear and mastoid process"	"H60-H93"	0	11035485	Unreliable
	"Female"	"F"	"2021"	"2021"	"35-39 years"	"35-39"	"Diseases of the circulatory system"	"I00-I99"	2036	11035485	18.4
	"Female"	"F"	"2021"	"2021"	"35-39 years"	"35-39"	"Diseases of the respiratory system"	"J00-J98"	417	11035485	3.8
	"Female"	"F"	"2021"	"2021"	"35-39 years"	"35-39"	"Diseases of the digestive system"	"K00-K92"	1355	11035485	12.3
	"Female"	"F"	"2021"	"2021"	"35-39 years"	"35-39"	"Diseases of the skin and subcutaneous tissue"	"L00-L98"	49	11035485	0.4
	"Female"	"F"	"2021"	"2021"	"35-39 years"	"35-39"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	130	11035485	1.2
	"Female"	"F"	"2021"	"2021"	"35-39 years"	"35-39"	"Diseases of the genitourinary system"	"N00-N98"	224	11035485	2.0
	"Female"	"F"	"2021"	"2021"	"35-39 years"	"35-39"	"Pregnancy, childbirth and the puerperium"	"O00-O99"	412	11035485	3.7
	"Female"	"F"	"2021"	"2021"	"35-39 years"	"35-39"	"Certain conditions originating in the perinatal period"	"P00-P96"	0	11035485	Unreliable
	"Female"	"F"	"2021"	"2021"	"35-39 years"	"35-39"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	103	11035485	0.9
	"Female"	"F"	"2021"	"2021"	"35-39 years"	"35-39"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	273	11035485	2.5
	"Female"	"F"	"2021"	"2021"	"35-39 years"	"35-39"	"Codes for special purposes"	"U00-U99"	2340	11035485	21.2
	"Female"	"F"	"2021"	"2021"	"35-39 years"	"35-39"	"External causes of morbidity and mortality"	"V01-Y89"	6895	11035485	62.5
	"Female"	"F"	"2021"	"2021"	"40-44 years"	"40-44"	"Certain infectious and parasitic diseases"	"A00-B99"	576	10510756	5.5
	"Female"	"F"	"2021"	"2021"	"40-44 years"	"40-44"	"Neoplasms"	"C00-D48"	4073	10510756	38.8
	"Female"	"F"	"2021"	"2021"	"40-44 years"	"40-44"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	163	10510756	1.6
	"Female"	"F"	"2021"	"2021"	"40-44 years"	"40-44"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	1234	10510756	11.7
	"Female"	"F"	"2021"	"2021"	"40-44 years"	"40-44"	"Mental and behavioural disorders"	"F01-F99"	535	10510756	5.1
	"Female"	"F"	"2021"	"2021"	"40-44 years"	"40-44"	"Diseases of the nervous system"	"G00-G98"	610	10510756	5.8
	"Female"	"F"	"2021"	"2021"	"40-44 years"	"40-44"	"Diseases of the eye and adnexa"	"H00-H57"	0	10510756	Unreliable
	"Female"	"F"	"2021"	"2021"	"40-44 years"	"40-44"	"Diseases of the ear and mastoid process"	"H60-H93"	0	10510756	Unreliable
	"Female"	"F"	"2021"	"2021"	"40-44 years"	"40-44"	"Diseases of the circulatory system"	"I00-I99"	3420	10510756	32.5
	"Female"	"F"	"2021"	"2021"	"40-44 years"	"40-44"	"Diseases of the respiratory system"	"J00-J98"	708	10510756	6.7
	"Female"	"F"	"2021"	"2021"	"40-44 years"	"40-44"	"Diseases of the digestive system"	"K00-K92"	1791	10510756	17.0
	"Female"	"F"	"2021"	"2021"	"40-44 years"	"40-44"	"Diseases of the skin and subcutaneous tissue"	"L00-L98"	48	10510756	0.5
	"Female"	"F"	"2021"	"2021"	"40-44 years"	"40-44"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	181	10510756	1.7
