Population,Five-Year Age Groups,Gender,Year
9303113,25-29 years,Female,2001
9248586,25-29 years,Female,2002
10393532,25-29 years,Female,2008
10466258,25-29 years,Female,2010
10518279,25-29 years,Female,2011
10553440,25-29 years,Female,2012
11259410,25-29 years,Female,2016
11356117,25-29 years,Female,2020
9879090,25-29 years,Male,1999
9442754,25-29 years,Male,2002
9822166,25-29 years,Male,2005
10313439,25-29 years,Male,2007
10635591,25-29 years,Male,2010
10761515,25-29 years,Male,2011
10959879,25-29 years,Male,2013
11409399,25-29 years,Male,2015
11902230,25-29 years,Male,2017
12018838,25-29 years,Male,2018
10249123,30-34 years,Female,1999
10263930,30-34 years,Female,2001
9835154,30-34 years,Female,2005
9559334,30-34 years,Female,2007
10417089,30-34 years,Female,2012
10785909,30-34 years,Female,2015
10818095,30-34 years,Female,2016
10883081,30-34 years,Female,2017
10944147,30-34 years,Female,2018
11269150,30-34 years,Female,2020
10354226,30-34 years,Male,1999
10321769,30-34 years,Male,2000
10388245,30-34 years,Male,2001
10388113,30-34 years,Male,2002
10278392,30-34 years,Male,2003
9888783,30-34 years,Male,2005
9673250,30-34 years,Male,2006
9678926,30-34 years,Male,2008
9844555,30-34 years,Male,2009
9996500,30-34 years,Male,2010
10282648,30-34 years,Male,2011
10681612,30-34 years,Male,2013
10808825,30-34 years,Male,2014
11569253,30-34 years,Male,2020
11474154,35-39 years,Female,1999
11387968,35-39 years,Female,2000
11141510,35-39 years,Female,2001
10903446,35-39 years,Female,2002
10489448,35-39 years,Female,2006
10502839,35-39 years,Female,2007
10437809,35-39 years,Female,2008
10292169,35-39 years,Female,2009
10137620,35-39 years,Female,2010
9832998,35-39 years,Female,2011
10397463,35-39 years,Female,2016
10773397,35-39 years,Female,2018
10852580,35-39 years,Female,2019
11408395,35-39 years,Male,1999
11318696,35-39 years,Male,2000
11094408,35-39 years,Male,2001
10847772,35-39 years,Male,2002
10421329,35-39 years,Male,2004
10387033,35-39 years,Male,2005
10451785,35-39 years,Male,2006
10461052,35-39 years,Male,2007
10379654,35-39 years,Male,2008
10215627,35-39 years,Male,2009
9761311,35-39 years,Male,2011
9785269,35-39 years,Male,2013
9939836,35-39 years,Male,2014
10173424,35-39 years,Male,2015
10376442,35-39 years,Male,2016
10615985,35-39 years,Male,2017
10937588,35-39 years,Male,2020
11195450,40-44 years,Female,1999
11536009,40-44 years,Female,2002
11546602,40-44 years,Female,2003
11562414,40-44 years,Female,2004
11453723,40-44 years,Female,2005
11238163,40-44 years,Female,2006
10999163,40-44 years,Female,2007
10757924,40-44 years,Female,2008
10549441,40-44 years,Female,2009
10569227,40-44 years,Female,2012
10488928,40-44 years,Female,2013
9890258,40-44 years,Female,2017
9916891,40-44 years,Female,2018
10014484,40-44 years,Female,2019
10199608,40-44 years,Female,2020
10998678,40-44 years,Male,1999
11129102,40-44 years,Male,2000
11314915,40-44 years,Male,2001
11353422,40-44 years,Male,2002
11343445,40-44 years,Male,2003
11363212,40-44 years,Male,2004
11253162,40-44 years,Male,2005
11064405,40-44 years,Male,2006
10833176,40-44 years,Male,2007
10617099,40-44 years,Male,2008
10430574,40-44 years,Male,2009
10393977,40-44 years,Male,2010
10462159,40-44 years,Male,2011
10359992,40-44 years,Male,2013
10219393,40-44 years,Male,2014
10030153,40-44 years,Male,2015
9776321,40-44 years,Male,2016
9753115,40-44 years,Male,2017
9907139,40-44 years,Male,2019
10108280,40-44 years,Male,2020
9987734,45-49 years,Female,1999
10202898,45-49 years,Female,2000
10785791,45-49 years,Female,2002
11017265,45-49 years,Female,2003
11184506,45-49 years,Female,2004
11357088,45-49 years,Female,2005
11505455,45-49 years,Female,2006
11542213,45-49 years,Female,2007
11556983,45-49 years,Female,2008
11576574,45-49 years,Female,2009
11499506,45-49 years,Female,2010
11205304,45-49 years,Female,2011
10710188,45-49 years,Female,2013
10518915,45-49 years,Female,2015
10571668,45-49 years,Female,2016
10483140,45-49 years,Female,2018
10312396,45-49 years,Female,2019
10097702,45-49 years,Female,2020
9666473,45-49 years,Male,1999
9889506,45-49 years,Male,2000
10193034,45-49 years,Male,2001
10466497,45-49 years,Male,2002
10705411,45-49 years,Male,2003
10880756,45-49 years,Male,2004
11060083,45-49 years,Male,2005
11209831,45-49 years,Male,2006
11257548,45-49 years,Male,2007
11263990,45-49 years,Male,2008
11285671,45-49 years,Male,2009
11209085,45-49 years,Male,2010
10952701,45-49 years,Male,2011
10726625,45-49 years,Male,2012
10498118,45-49 years,Male,2013
10347463,45-49 years,Male,2014
10334929,45-49 years,Male,2015
10386175,45-49 years,Male,2017
10085355,45-49 years,Male,2019
9872904,45-49 years,Male,2020
8644571,50-54 years,Female,1999
9541132,50-54 years,Female,2001
9759654,50-54 years,Female,2003
9999623,50-54 years,Female,2004
10257441,50-54 years,Female,2005
10795749,50-54 years,Female,2007
11040553,50-54 years,Female,2008
11221280,50-54 years,Female,2009
11493652,50-54 years,Female,2011
11499014,50-54 years,Female,2012
11488260,50-54 years,Female,2013
11493228,50-54 years,Female,2014
11370470,50-54 years,Female,2015
11108872,50-54 years,Female,2016
10880912,50-54 years,Female,2017
10607357,50-54 years,Female,2018
8279041,50-54 years,Male,1999
8607724,50-54 years,Male,2000
9168094,50-54 years,Male,2002
9337624,50-54 years,Male,2003
9565045,50-54 years,Male,2004
9821292,50-54 years,Male,2005
10064753,50-54 years,Male,2006
10344429,50-54 years,Male,2007
10598921,50-54 years,Male,2008
10783563,50-54 years,Male,2009
11066546,50-54 years,Male,2011
11077581,50-54 years,Male,2014
10963847,50-54 years,Male,2015
10730184,50-54 years,Male,2016
10520182,50-54 years,Male,2017
10277207,50-54 years,Male,2018
10086611,50-54 years,Male,2019
10051788,50-54 years,Male,2020
6765034,55-59 years,Female,1999
7209396,55-59 years,Female,2001
7801990,55-59 years,Female,2002
8141956,55-59 years,Female,2003
8547949,55-59 years,Female,2004
9473065,55-59 years,Female,2006
9509473,55-59 years,Female,2007
9702238,55-59 years,Female,2008
9946217,55-59 years,Female,2009
10141157,55-59 years,Female,2010
10439497,55-59 years,Female,2011
10704108,55-59 years,Female,2012
11067461,55-59 years,Female,2014
11210375,55-59 years,Female,2015
11296702,55-59 years,Female,2016
11307436,55-59 years,Female,2017
11271658,55-59 years,Female,2018
11234902,55-59 years,Female,2019
11091171,55-59 years,Female,2020
6319787,55-59 years,Male,1999
6508729,55-59 years,Male,2000
6759579,55-59 years,Male,2001
7341077,55-59 years,Male,2002
8059227,55-59 years,Male,2004
8495361,55-59 years,Male,2005
8923795,55-59 years,Male,2006
8945299,55-59 years,Male,2007
9112330,55-59 years,Male,2008
9334386,55-59 years,Male,2009
9523648,55-59 years,Male,2010
9816051,55-59 years,Male,2011
10068409,55-59 years,Male,2012
10282382,55-59 years,Male,2013
10443988,55-59 years,Male,2014
10597567,55-59 years,Male,2015
10683406,55-59 years,Male,2016
10700520,55-59 years,Male,2017
10669327,55-59 years,Male,2018
10642489,55-59 years,Male,2019
10511928,55-59 years,Male,2020
5613729,60-64 years ,Female,1999
5668820,60-64 years ,Female,2000
5834170,60-64 years ,Female,2001
6051668,60-64 years ,Female,2002
6377463,60-64 years ,Female,2003
6637798,60-64 years ,Female,2004
7058989,60-64 years ,Female,2006
7639198,60-64 years ,Female,2007
7979525,60-64 years ,Female,2008
8740424,60-64 years ,Female,2010
9264438,60-64 years ,Female,2011
9279200,60-64 years ,Female,2012
9447628,60-64 years ,Female,2013
9688238,60-64 years ,Female,2014
9952697,60-64 years ,Female,2015
10167404,60-64 years ,Female,2016
10430419,60-64 years ,Female,2017
10602115,60-64 years ,Female,2018
10714416,60-64 years ,Female,2019
10823072,60-64 years ,Female,2020
5079476,60-64 years ,Male,1999
5136627,60-64 years ,Male,2000
5302150,60-64 years ,Male,2001
5508597,60-64 years ,Male,2002
5816925,60-64 years ,Male,2003
6060330,60-64 years ,Male,2004
6277726,60-64 years ,Male,2005
6474264,60-64 years ,Male,2006
7034464,60-64 years ,Male,2007
7362970,60-64 years ,Male,2008
7741673,60-64 years ,Male,2009
8077500,60-64 years ,Male,2010
8542154,60-64 years ,Male,2011
8534485,60-64 years ,Male,2012
8674373,60-64 years ,Male,2013
9117180,60-64 years ,Male,2015
9315632,60-64 years ,Male,2016
9557283,60-64 years ,Male,2017
9729536,60-64 years ,Male,2018
9856730,60-64 years ,Male,2019
9977506,60-64 years ,Male,2020
5141988,65-69 years,Female,1999
5134618,65-69 years,Female,2001
5163814,65-69 years,Female,2002
5253706,65-69 years,Female,2003
5370418,65-69 years,Female,2004
5469500,65-69 years,Female,2005
5609202,65-69 years,Female,2006
5824805,65-69 years,Female,2007
6147908,65-69 years,Female,2008
6407878,65-69 years,Female,2009
6582716,65-69 years,Female,2010
6801858,65-69 years,Female,2011
7695527,65-69 years,Female,2013
8076160,65-69 years,Female,2014
8471278,65-69 years,Female,2015
8883164,65-69 years,Female,2016
8906513,65-69 years,Female,2017
9052080,65-69 years,Female,2018
9255228,65-69 years,Female,2019
9483316,65-69 years,Female,2020
4399510,65-69 years,Male,1999
4400362,65-69 years,Male,2000
4427615,65-69 years,Male,2001
4474667,65-69 years,Male,2002
4703011,65-69 years,Male,2004
4809127,65-69 years,Male,2005
4943999,65-69 years,Male,2006
5145430,65-69 years,Male,2007
5446439,65-69 years,Male,2008
5684499,65-69 years,Male,2009
5852547,65-69 years,Male,2010
6071930,65-69 years,Male,2011
6606856,65-69 years,Male,2012
6913190,65-69 years,Male,2013
7249106,65-69 years,Male,2014
7596190,65-69 years,Male,2015
7936919,65-69 years,Male,2016
7929868,65-69 years,Male,2017
8034813,65-69 years,Male,2018
8199773,65-69 years,Male,2019
8390351,65-69 years,Male,2020
4954529,70-74 years,Female,2000
4908508,70-74 years,Female,2001
4852844,70-74 years,Female,2002
4794496,70-74 years,Female,2003
4739945,70-74 years,Female,2004
4729069,70-74 years,Female,2005
4741436,70-74 years,Female,2006
4770997,70-74 years,Female,2007
4856336,70-74 years,Female,2008
5034194,70-74 years,Female,2010
5203567,70-74 years,Female,2011
5412033,70-74 years,Female,2012
5723597,70-74 years,Female,2013
5973085,70-74 years,Female,2014
6186891,70-74 years,Female,2015
6356057,70-74 years,Female,2016
6899793,70-74 years,Female,2017
7194151,70-74 years,Female,2018
7528626,70-74 years,Female,2019
7882542,70-74 years,Female,2020
3893975,70-74 years,Male,1999
3902912,70-74 years,Male,2000
3913438,70-74 years,Male,2001
3897210,70-74 years,Male,2002
3875623,70-74 years,Male,2003
3854159,70-74 years,Male,2004
3874001,70-74 years,Male,2005
3908390,70-74 years,Male,2006
3957495,70-74 years,Male,2007
4054996,70-74 years,Male,2008
4243972,70-74 years,Male,2010
4404383,70-74 years,Male,2011
4596006,70-74 years,Male,2012
5099939,70-74 years,Male,2014
5296158,70-74 years,Male,2015
5454190,70-74 years,Male,2016
5947272,70-74 years,Male,2017
6211272,70-74 years,Male,2018
6499806,70-74 years,Male,2019
6793189,70-74 years,Male,2020
4331221,75-79 years,Female,1999
4371357,75-79 years,Female,2000
4378159,75-79 years,Female,2001
4368692,75-79 years,Female,2002
4365982,75-79 years,Female,2003
4321319,75-79 years,Female,2004
4299256,75-79 years,Female,2005
4269136,75-79 years,Female,2006
4225224,75-79 years,Female,2007
4178497,75-79 years,Female,2008
4135780,75-79 years,Female,2009
4135407,75-79 years,Female,2010
4155949,75-79 years,Female,2011
4198131,75-79 years,Female,2012
4287534,75-79 years,Female,2013
4410758,75-79 years,Female,2014
4512927,75-79 years,Female,2015
4644276,75-79 years,Female,2016
4842445,75-79 years,Female,2017
5122392,75-79 years,Female,2018
5334166,75-79 years,Female,2019
5513149,75-79 years,Female,2020
3011385,75-79 years,Male,1999
3044456,75-79 years,Male,2000
3077254,75-79 years,Male,2001
3101769,75-79 years,Male,2002
3131860,75-79 years,Male,2003
3140080,75-79 years,Male,2004
3164353,75-79 years,Male,2005
3177898,75-79 years,Male,2006
3175139,75-79 years,Male,2007
3167246,75-79 years,Male,2008
3159284,75-79 years,Male,2009
3182388,75-79 years,Male,2010
3232738,75-79 years,Male,2011
3390347,75-79 years,Male,2013
3610906,75-79 years,Male,2015
3723619,75-79 years,Male,2016
3898816,75-79 years,Male,2017
4144674,75-79 years,Male,2018
4473684,75-79 years,Male,2020
3110470,80-84 years,Female,2000
3211574,80-84 years,Female,2001
3295412,80-84 years,Female,2002
3347175,80-84 years,Female,2003
3417423,80-84 years,Female,2004
3454579,80-84 years,Female,2005
3463549,80-84 years,Female,2006
3469267,80-84 years,Female,2007
3477946,80-84 years,Female,2008
3454860,80-84 years,Female,2009
3446248,80-84 years,Female,2011
3426353,80-84 years,Female,2012
3378554,80-84 years,Female,2014
3386676,80-84 years,Female,2015
3412384,80-84 years,Female,2016
3536942,80-84 years,Female,2018
3637483,80-84 years,Female,2019
3715123,80-84 years,Female,2020
1802331,80-84 years,Male,1999
1834897,80-84 years,Male,2000
1926631,80-84 years,Male,2001
1998991,80-84 years,Male,2002
2051421,80-84 years,Male,2003
2111081,80-84 years,Male,2004
2156614,80-84 years,Male,2005
2184568,80-84 years,Male,2006
2217809,80-84 years,Male,2007
2252413,80-84 years,Male,2008
2272851,80-84 years,Male,2009
2294374,80-84 years,Male,2010
2340295,80-84 years,Male,2011
2356698,80-84 years,Male,2012
2370170,80-84 years,Male,2013
2381812,80-84 years,Male,2014
2412665,80-84 years,Male,2015
2453255,80-84 years,Male,2016
2509059,80-84 years,Male,2017
2590366,80-84 years,Male,2018
2679724,80-84 years,Male,2019
2749591,80-84 years,Male,2020
7459995,1-4 years,Female,2021
9915390,5-9 years,Female,2021
10550759,20-24 years,Female,2021
9905753,45-49 years,Female,2021
10470724,50-54 years,Female,2021
10937255,55-59 years,Female,2021
10902491,60-64 years ,Female,2021
9646107,65-69 years,Female,2021
8150929,70-74 years,Female,2021
5432359,75-79 years,Female,2021
3605202,80-84 years,Female,2021
9777249,5-9 years,Female,2022
10840422,25-29 years,Female,2022
10609527,40-44 years,Female,2022
10372906,50-54 years,Female,2022
10593091,55-59 years,Female,2022
10820443,60-64 years ,Female,2022
9757521,65-69 years,Female,2022
8120246,70-74 years,Female,2022
5951314,75-79 years,Female,2022
3834386,80-84 years,Female,2022
1821502,< 1 year,Male,2021
7802850,1-4 years,Male,2021
11022976,15-19 years,Male,2021
10973238,20-24 years,Male,2021
11379058,25-29 years,Male,2021
11674304,30-34 years,Male,2021
10593780,40-44 years,Male,2021
10436202,50-54 years,Male,2021
10630059,55-59 years,Male,2021
10333259,60-64 years ,Male,2021
8748213,65-69 years,Male,2021
7120873,70-74 years,Male,2021
4472410,75-79 years,Male,2021
2696104,80-84 years,Male,2021
1882867,< 1 year,Male,2022
7592228,1-4 years,Male,2022
11352742,25-29 years,Male,2022
11836820,30-34 years,Male,2022
11302300,35-39 years,Male,2022
10817889,40-44 years,Male,2022
9844989,45-49 years,Male,2022
10434641,50-54 years,Male,2022
10373923,55-59 years,Male,2022
10297980,60-64 years ,Male,2022
8873901,65-69 years,Male,2022
7036771,70-74 years,Male,2022
4909686,75-79 years,Male,2022
2825159,80-84 years,Male,2022
