Population,Five-Year Age Groups,Gender,Year
9797410,40-44 years,Male,2018
9907139,40-44 years,Male,2019
9987734,45-49 years,Female,1999
10202898,45-49 years,Female,2000
10785791,45-49 years,Female,2002
11357088,45-49 years,Female,2005
11505455,45-49 years,Female,2006
11499506,45-49 years,Female,2010
10962854,45-49 years,Female,2012
10710188,45-49 years,Female,2013
10312396,45-49 years,Female,2019
9889506,45-49 years,Male,2000
10193034,45-49 years,Male,2001
10466497,45-49 years,Male,2002
10705411,45-49 years,Male,2003
10880756,45-49 years,Male,2004
11060083,45-49 years,Male,2005
11209831,45-49 years,Male,2006
11257548,45-49 years,Male,2007
11285671,45-49 years,Male,2009
11209085,45-49 years,Male,2010
10952701,45-49 years,Male,2011
10726625,45-49 years,Male,2012
10498118,45-49 years,Male,2013
10334929,45-49 years,Male,2015
10085355,45-49 years,Male,2019
8644571,50-54 years,Female,1999
8977824,50-54 years,Female,2000
9999623,50-54 years,Female,2004
10506120,50-54 years,Female,2006
11221280,50-54 years,Female,2009
11493652,50-54 years,Female,2011
11499014,50-54 years,Female,2012
11370470,50-54 years,Female,2015
10880912,50-54 years,Female,2017
10607357,50-54 years,Female,2018
8279041,50-54 years,Male,1999
8607724,50-54 years,Male,2000
9565045,50-54 years,Male,2004
10064753,50-54 years,Male,2006
10598921,50-54 years,Male,2008
10933274,50-54 years,Male,2010
11066546,50-54 years,Male,2011
11080245,50-54 years,Male,2012
11070966,50-54 years,Male,2013
10520182,50-54 years,Male,2017
10277207,50-54 years,Male,2018
10086611,50-54 years,Male,2019
6765034,55-59 years,Female,1999
7801990,55-59 years,Female,2002
9007859,55-59 years,Female,2005
9473065,55-59 years,Female,2006
9702238,55-59 years,Female,2008
9946217,55-59 years,Female,2009
10141157,55-59 years,Female,2010
10704108,55-59 years,Female,2012
10912048,55-59 years,Female,2013
11067461,55-59 years,Female,2014
11210375,55-59 years,Female,2015
11296702,55-59 years,Female,2016
11271658,55-59 years,Female,2018
11234902,55-59 years,Female,2019
11091171,55-59 years,Female,2020
6508729,55-59 years,Male,2000
7341077,55-59 years,Male,2002
7672601,55-59 years,Male,2003
8495361,55-59 years,Male,2005
8923795,55-59 years,Male,2006
9112330,55-59 years,Male,2008
9523648,55-59 years,Male,2010
10282382,55-59 years,Male,2013
10443988,55-59 years,Male,2014
10597567,55-59 years,Male,2015
10683406,55-59 years,Male,2016
10669327,55-59 years,Male,2018
10642489,55-59 years,Male,2019
10511928,55-59 years,Male,2020
5834170,60-64 years ,Female,2001
6051668,60-64 years ,Female,2002
6637798,60-64 years ,Female,2004
6860551,60-64 years ,Female,2005
7058989,60-64 years ,Female,2006
7979525,60-64 years ,Female,2008
8740424,60-64 years ,Female,2010
9264438,60-64 years ,Female,2011
9447628,60-64 years ,Female,2013
9688238,60-64 years ,Female,2014
10167404,60-64 years ,Female,2016
10602115,60-64 years ,Female,2018
10714416,60-64 years ,Female,2019
10823072,60-64 years ,Female,2020
5079476,60-64 years ,Male,1999
5508597,60-64 years ,Male,2002
5816925,60-64 years ,Male,2003
6277726,60-64 years ,Male,2005
6474264,60-64 years ,Male,2006
7034464,60-64 years ,Male,2007
7741673,60-64 years ,Male,2009
8077500,60-64 years ,Male,2010
8542154,60-64 years ,Male,2011
8534485,60-64 years ,Male,2012
8877894,60-64 years ,Male,2014
9117180,60-64 years ,Male,2015
9315632,60-64 years ,Male,2016
9557283,60-64 years ,Male,2017
9729536,60-64 years ,Male,2018
9856730,60-64 years ,Male,2019
9977506,60-64 years ,Male,2020
5141988,65-69 years,Female,1999
5133183,65-69 years,Female,2000
5824805,65-69 years,Female,2007
6147908,65-69 years,Female,2008
6582716,65-69 years,Female,2010
7370497,65-69 years,Female,2012
8076160,65-69 years,Female,2014
8471278,65-69 years,Female,2015
8883164,65-69 years,Female,2016
8906513,65-69 years,Female,2017
9052080,65-69 years,Female,2018
9255228,65-69 years,Female,2019
9483316,65-69 years,Female,2020
4399510,65-69 years,Male,1999
4400362,65-69 years,Male,2000
4474667,65-69 years,Male,2002
4703011,65-69 years,Male,2004
4943999,65-69 years,Male,2006
5145430,65-69 years,Male,2007
5684499,65-69 years,Male,2009
6071930,65-69 years,Male,2011
7596190,65-69 years,Male,2015
7936919,65-69 years,Male,2016
7929868,65-69 years,Male,2017
8034813,65-69 years,Male,2018
8199773,65-69 years,Male,2019
8390351,65-69 years,Male,2020
4908508,70-74 years,Female,2001
4852844,70-74 years,Female,2002
4739945,70-74 years,Female,2004
4729069,70-74 years,Female,2005
4770997,70-74 years,Female,2007
4856336,70-74 years,Female,2008
4967279,70-74 years,Female,2009
5412033,70-74 years,Female,2012
6186891,70-74 years,Female,2015
6356057,70-74 years,Female,2016
6899793,70-74 years,Female,2017
7194151,70-74 years,Female,2018
3893975,70-74 years,Male,1999
3902912,70-74 years,Male,2000
3897210,70-74 years,Male,2002
3854159,70-74 years,Male,2004
3874001,70-74 years,Male,2005
3908390,70-74 years,Male,2006
3957495,70-74 years,Male,2007
4054996,70-74 years,Male,2008
4173443,70-74 years,Male,2009
4404383,70-74 years,Male,2011
4596006,70-74 years,Male,2012
5099939,70-74 years,Male,2014
5454190,70-74 years,Male,2016
5947272,70-74 years,Male,2017
6499806,70-74 years,Male,2019
6793189,70-74 years,Male,2020
4331221,75-79 years,Female,1999
4371357,75-79 years,Female,2000
4378159,75-79 years,Female,2001
4365982,75-79 years,Female,2003
4321319,75-79 years,Female,2004
4299256,75-79 years,Female,2005
4269136,75-79 years,Female,2006
4225224,75-79 years,Female,2007
4178497,75-79 years,Female,2008
4135780,75-79 years,Female,2009
4135407,75-79 years,Female,2010
4155949,75-79 years,Female,2011
4198131,75-79 years,Female,2012
4287534,75-79 years,Female,2013
4512927,75-79 years,Female,2015
4644276,75-79 years,Female,2016
4842445,75-79 years,Female,2017
5122392,75-79 years,Female,2018
5334166,75-79 years,Female,2019
5513149,75-79 years,Female,2020
3011385,75-79 years,Male,1999
3044456,75-79 years,Male,2000
3101769,75-79 years,Male,2002
3140080,75-79 years,Male,2004
3164353,75-79 years,Male,2005
3177898,75-79 years,Male,2006
3175139,75-79 years,Male,2007
3167246,75-79 years,Male,2008
3159284,75-79 years,Male,2009
3182388,75-79 years,Male,2010
3291452,75-79 years,Male,2012
3390347,75-79 years,Male,2013
3511566,75-79 years,Male,2014
3610906,75-79 years,Male,2015
3723619,75-79 years,Male,2016
4144674,75-79 years,Male,2018
4318499,75-79 years,Male,2019
4473684,75-79 years,Male,2020
3110470,80-84 years,Female,2000
3295412,80-84 years,Female,2002
3347175,80-84 years,Female,2003
3417423,80-84 years,Female,2004
3454579,80-84 years,Female,2005
3463549,80-84 years,Female,2006
3469267,80-84 years,Female,2007
3477946,80-84 years,Female,2008
3454860,80-84 years,Female,2009
3448953,80-84 years,Female,2010
3446248,80-84 years,Female,2011
3426353,80-84 years,Female,2012
3398468,80-84 years,Female,2013
3378554,80-84 years,Female,2014
3386676,80-84 years,Female,2015
3412384,80-84 years,Female,2016
3456231,80-84 years,Female,2017
3536942,80-84 years,Female,2018
3637483,80-84 years,Female,2019
3715123,80-84 years,Female,2020
1802331,80-84 years,Male,1999
1834897,80-84 years,Male,2000
1998991,80-84 years,Male,2002
2051421,80-84 years,Male,2003
2156614,80-84 years,Male,2005
2184568,80-84 years,Male,2006
2217809,80-84 years,Male,2007
2252413,80-84 years,Male,2008
2340295,80-84 years,Male,2011
2356698,80-84 years,Male,2012
2370170,80-84 years,Male,2013
2381812,80-84 years,Male,2014
2412665,80-84 years,Male,2015
2453255,80-84 years,Male,2016
2509059,80-84 years,Male,2017
2679724,80-84 years,Male,2019
2749591,80-84 years,Male,2020
10541690,15-19 years,Female,2021
10550759,20-24 years,Female,2021
11428324,30-34 years,Female,2021
9905753,45-49 years,Female,2021
10902491,60-64 years ,Female,2021
9646107,65-69 years,Female,2021
8150929,70-74 years,Female,2021
5432359,75-79 years,Female,2021
3605202,80-84 years,Female,2021
7263012,1-4 years,Female,2022
10187986,10-14 years,Female,2022
11103791,20-24 years,Female,2022
10840422,25-29 years,Female,2022
10593091,55-59 years,Female,2022
10820443,60-64 years ,Female,2022
9757521,65-69 years,Female,2022
8120246,70-74 years,Female,2022
5951314,75-79 years,Female,2022
3834386,80-84 years,Female,2022
10988223,10-14 years,Male,2021
9875757,45-49 years,Male,2021
10436202,50-54 years,Male,2021
10333259,60-64 years ,Male,2021
8748213,65-69 years,Male,2021
7120873,70-74 years,Male,2021
4472410,75-79 years,Male,2021
2696104,80-84 years,Male,2021
10231946,5-9 years,Male,2022
11082043,15-19 years,Male,2022
9844989,45-49 years,Male,2022
10373923,55-59 years,Male,2022
8873901,65-69 years,Male,2022
7036771,70-74 years,Male,2022
4909686,75-79 years,Male,2022
2825159,80-84 years,Male,2022
