"Notes"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	"Gender"	"Gender Code"	"Year"	"Year Code"	"ICD Chapter"	"ICD Chapter Code"	"Race"	"Race Code"	Deaths	Population	Crude Rate
	"< 1 year"	"1"	"Female"	"F"	"2000"	"2000"	"Diseases of the digestive system"	"K00-K92"	"White"	"2106-3"	40	344761	11.6
	"< 1 year"	"1"	"Female"	"F"	"2000"	"2000"	"Certain conditions originating in the perinatal period"	"P00-P96"	"Black or African American"	"2054-5"	26	18607	139.7
	"< 1 year"	"1"	"Female"	"F"	"2000"	"2000"	"Certain conditions originating in the perinatal period"	"P00-P96"	"White"	"2106-3"	901	344761	261.3
	"< 1 year"	"1"	"Female"	"F"	"2000"	"2000"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"White"	"2106-3"	563	344761	163.3
	"< 1 year"	"1"	"Female"	"F"	"2000"	"2000"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	"White"	"2106-3"	185	344761	53.7
	"< 1 year"	"1"	"Female"	"F"	"2000"	"2000"	"External causes of morbidity and mortality"	"V01-Y89"	"White"	"2106-3"	78	344761	22.6
	"< 1 year"	"1"	"Female"	"F"	"2001"	"2001"	"Certain infectious and parasitic diseases"	"A00-B99"	"White"	"2106-3"	49	393022	12.5
	"< 1 year"	"1"	"Female"	"F"	"2001"	"2001"	"Neoplasms"	"C00-D48"	"White"	"2106-3"	12	393022	Unreliable
	"< 1 year"	"1"	"Female"	"F"	"2001"	"2001"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"White"	"2106-3"	23	393022	5.9
	"< 1 year"	"1"	"Female"	"F"	"2001"	"2001"	"Diseases of the nervous system"	"G00-G98"	"White"	"2106-3"	18	393022	Unreliable
	"< 1 year"	"1"	"Female"	"F"	"2001"	"2001"	"Diseases of the circulatory system"	"I00-I99"	"White"	"2106-3"	42	393022	10.7
	"< 1 year"	"1"	"Female"	"F"	"2001"	"2001"	"Diseases of the respiratory system"	"J00-J98"	"White"	"2106-3"	46	393022	11.7
	"< 1 year"	"1"	"Female"	"F"	"2001"	"2001"	"Diseases of the digestive system"	"K00-K92"	"White"	"2106-3"	34	393022	8.7
	"< 1 year"	"1"	"Female"	"F"	"2001"	"2001"	"Certain conditions originating in the perinatal period"	"P00-P96"	"Black or African American"	"2054-5"	36	19888	181.0
	"< 1 year"	"1"	"Female"	"F"	"2001"	"2001"	"Certain conditions originating in the perinatal period"	"P00-P96"	"White"	"2106-3"	897	393022	228.2
	"< 1 year"	"1"	"Female"	"F"	"2001"	"2001"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"Black or African American"	"2054-5"	17	19888	Unreliable
	"< 1 year"	"1"	"Female"	"F"	"2001"	"2001"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"White"	"2106-3"	533	393022	135.6
	"< 1 year"	"1"	"Female"	"F"	"2001"	"2001"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	"White"	"2106-3"	201	393022	51.1
	"< 1 year"	"1"	"Female"	"F"	"2001"	"2001"	"External causes of morbidity and mortality"	"V01-Y89"	"White"	"2106-3"	97	393022	24.7
	"< 1 year"	"1"	"Female"	"F"	"2002"	"2002"	"Certain infectious and parasitic diseases"	"A00-B99"	"White"	"2106-3"	53	403197	13.1
	"< 1 year"	"1"	"Female"	"F"	"2002"	"2002"	"Neoplasms"	"C00-D48"	"White"	"2106-3"	16	403197	Unreliable
	"< 1 year"	"1"	"Female"	"F"	"2002"	"2002"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"White"	"2106-3"	22	403197	5.5
	"< 1 year"	"1"	"Female"	"F"	"2002"	"2002"	"Diseases of the nervous system"	"G00-G98"	"White"	"2106-3"	22	403197	5.5
	"< 1 year"	"1"	"Female"	"F"	"2002"	"2002"	"Diseases of the circulatory system"	"I00-I99"	"White"	"2106-3"	55	403197	13.6
	"< 1 year"	"1"	"Female"	"F"	"2002"	"2002"	"Diseases of the respiratory system"	"J00-J98"	"White"	"2106-3"	45	403197	11.2
	"< 1 year"	"1"	"Female"	"F"	"2002"	"2002"	"Diseases of the digestive system"	"K00-K92"	"White"	"2106-3"	41	403197	10.2
	"< 1 year"	"1"	"Female"	"F"	"2002"	"2002"	"Diseases of the genitourinary system"	"N00-N98"	"White"	"2106-3"	16	403197	Unreliable
	"< 1 year"	"1"	"Female"	"F"	"2002"	"2002"	"Certain conditions originating in the perinatal period"	"P00-P96"	"Black or African American"	"2054-5"	33	18700	176.5
	"< 1 year"	"1"	"Female"	"F"	"2002"	"2002"	"Certain conditions originating in the perinatal period"	"P00-P96"	"White"	"2106-3"	992	403197	246.0
	"< 1 year"	"1"	"Female"	"F"	"2002"	"2002"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"White"	"2106-3"	595	403197	147.6
	"< 1 year"	"1"	"Female"	"F"	"2002"	"2002"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	"White"	"2106-3"	178	403197	44.1
	"< 1 year"	"1"	"Female"	"F"	"2002"	"2002"	"External causes of morbidity and mortality"	"V01-Y89"	"White"	"2106-3"	71	403197	17.6
	"< 1 year"	"1"	"Female"	"F"	"2003"	"2003"	"Certain infectious and parasitic diseases"	"A00-B99"	"White"	"2106-3"	40	412388	9.7
	"< 1 year"	"1"	"Female"	"F"	"2003"	"2003"	"Neoplasms"	"C00-D48"	"White"	"2106-3"	18	412388	Unreliable
	"< 1 year"	"1"	"Female"	"F"	"2003"	"2003"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"White"	"2106-3"	23	412388	5.6
	"< 1 year"	"1"	"Female"	"F"	"2003"	"2003"	"Diseases of the nervous system"	"G00-G98"	"White"	"2106-3"	21	412388	5.1
	"< 1 year"	"1"	"Female"	"F"	"2003"	"2003"	"Diseases of the circulatory system"	"I00-I99"	"White"	"2106-3"	45	412388	10.9
	"< 1 year"	"1"	"Female"	"F"	"2003"	"2003"	"Diseases of the respiratory system"	"J00-J98"	"White"	"2106-3"	61	412388	14.8
	"< 1 year"	"1"	"Female"	"F"	"2003"	"2003"	"Diseases of the digestive system"	"K00-K92"	"White"	"2106-3"	36	412388	8.7
	"< 1 year"	"1"	"Female"	"F"	"2003"	"2003"	"Diseases of the genitourinary system"	"N00-N98"	"White"	"2106-3"	18	412388	Unreliable
	"< 1 year"	"1"	"Female"	"F"	"2003"	"2003"	"Certain conditions originating in the perinatal period"	"P00-P96"	"Black or African American"	"2054-5"	39	20435	190.8
	"< 1 year"	"1"	"Female"	"F"	"2003"	"2003"	"Certain conditions originating in the perinatal period"	"P00-P96"	"White"	"2106-3"	1106	412388	268.2
	"< 1 year"	"1"	"Female"	"F"	"2003"	"2003"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"White"	"2106-3"	619	412388	150.1
	"< 1 year"	"1"	"Female"	"F"	"2003"	"2003"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	"White"	"2106-3"	169	412388	41.0
	"< 1 year"	"1"	"Female"	"F"	"2003"	"2003"	"External causes of morbidity and mortality"	"V01-Y89"	"White"	"2106-3"	83	412388	20.1
	"< 1 year"	"1"	"Female"	"F"	"2004"	"2004"	"Certain infectious and parasitic diseases"	"A00-B99"	"White"	"2106-3"	39	421676	9.2
	"< 1 year"	"1"	"Female"	"F"	"2004"	"2004"	"Neoplasms"	"C00-D48"	"White"	"2106-3"	19	421676	Unreliable
	"< 1 year"	"1"	"Female"	"F"	"2004"	"2004"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"White"	"2106-3"	22	421676	5.2
	"< 1 year"	"1"	"Female"	"F"	"2004"	"2004"	"Diseases of the nervous system"	"G00-G98"	"White"	"2106-3"	29	421676	6.9
	"< 1 year"	"1"	"Female"	"F"	"2004"	"2004"	"Diseases of the circulatory system"	"I00-I99"	"White"	"2106-3"	49	421676	11.6
	"< 1 year"	"1"	"Female"	"F"	"2004"	"2004"	"Diseases of the respiratory system"	"J00-J98"	"White"	"2106-3"	50	421676	11.9
	"< 1 year"	"1"	"Female"	"F"	"2004"	"2004"	"Diseases of the digestive system"	"K00-K92"	"White"	"2106-3"	53	421676	12.6
	"< 1 year"	"1"	"Female"	"F"	"2004"	"2004"	"Diseases of the genitourinary system"	"N00-N98"	"White"	"2106-3"	17	421676	Unreliable
	"< 1 year"	"1"	"Female"	"F"	"2004"	"2004"	"Certain conditions originating in the perinatal period"	"P00-P96"	"Asian or Pacific Islander"	"A-PI"	12	8166	Unreliable
	"< 1 year"	"1"	"Female"	"F"	"2004"	"2004"	"Certain conditions originating in the perinatal period"	"P00-P96"	"Black or African American"	"2054-5"	40	24688	162.0
	"< 1 year"	"1"	"Female"	"F"	"2004"	"2004"	"Certain conditions originating in the perinatal period"	"P00-P96"	"White"	"2106-3"	1076	421676	255.2
	"< 1 year"	"1"	"Female"	"F"	"2004"	"2004"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"Black or African American"	"2054-5"	12	24688	Unreliable
	"< 1 year"	"1"	"Female"	"F"	"2004"	"2004"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"White"	"2106-3"	633	421676	150.1
	"< 1 year"	"1"	"Female"	"F"	"2004"	"2004"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	"White"	"2106-3"	168	421676	39.8
	"< 1 year"	"1"	"Female"	"F"	"2004"	"2004"	"External causes of morbidity and mortality"	"V01-Y89"	"White"	"2106-3"	106	421676	25.1
	"< 1 year"	"1"	"Female"	"F"	"2005"	"2005"	"Certain infectious and parasitic diseases"	"A00-B99"	"White"	"2106-3"	51	428260	11.9
	"< 1 year"	"1"	"Female"	"F"	"2005"	"2005"	"Neoplasms"	"C00-D48"	"White"	"2106-3"	19	428260	Unreliable
	"< 1 year"	"1"	"Female"	"F"	"2005"	"2005"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	"White"	"2106-3"	14	428260	Unreliable
	"< 1 year"	"1"	"Female"	"F"	"2005"	"2005"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"White"	"2106-3"	17	428260	Unreliable
	"< 1 year"	"1"	"Female"	"F"	"2005"	"2005"	"Diseases of the nervous system"	"G00-G98"	"White"	"2106-3"	26	428260	6.1
	"< 1 year"	"1"	"Female"	"F"	"2005"	"2005"	"Diseases of the circulatory system"	"I00-I99"	"White"	"2106-3"	43	428260	10.0
	"< 1 year"	"1"	"Female"	"F"	"2005"	"2005"	"Diseases of the respiratory system"	"J00-J98"	"White"	"2106-3"	60	428260	14.0
	"< 1 year"	"1"	"Female"	"F"	"2005"	"2005"	"Diseases of the digestive system"	"K00-K92"	"White"	"2106-3"	56	428260	13.1
	"< 1 year"	"1"	"Female"	"F"	"2005"	"2005"	"Diseases of the genitourinary system"	"N00-N98"	"White"	"2106-3"	16	428260	Unreliable
	"< 1 year"	"1"	"Female"	"F"	"2005"	"2005"	"Certain conditions originating in the perinatal period"	"P00-P96"	"Asian or Pacific Islander"	"A-PI"	10	9204	Unreliable
	"< 1 year"	"1"	"Female"	"F"	"2005"	"2005"	"Certain conditions originating in the perinatal period"	"P00-P96"	"Black or African American"	"2054-5"	66	31929	206.7
	"< 1 year"	"1"	"Female"	"F"	"2005"	"2005"	"Certain conditions originating in the perinatal period"	"P00-P96"	"White"	"2106-3"	1118	428260	261.1
	"< 1 year"	"1"	"Female"	"F"	"2005"	"2005"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"Black or African American"	"2054-5"	19	31929	Unreliable
	"< 1 year"	"1"	"Female"	"F"	"2005"	"2005"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"White"	"2106-3"	632	428260	147.6
	"< 1 year"	"1"	"Female"	"F"	"2005"	"2005"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	"Black or African American"	"2054-5"	10	31929	Unreliable
	"< 1 year"	"1"	"Female"	"F"	"2005"	"2005"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	"White"	"2106-3"	207	428260	48.3
	"< 1 year"	"1"	"Female"	"F"	"2005"	"2005"	"External causes of morbidity and mortality"	"V01-Y89"	"White"	"2106-3"	118	428260	27.6
	"< 1 year"	"1"	"Female"	"F"	"2006"	"2006"	"Certain infectious and parasitic diseases"	"A00-B99"	"White"	"2106-3"	39	443490	8.8
	"< 1 year"	"1"	"Female"	"F"	"2006"	"2006"	"Neoplasms"	"C00-D48"	"White"	"2106-3"	15	443490	Unreliable
	"< 1 year"	"1"	"Female"	"F"	"2006"	"2006"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"White"	"2106-3"	15	443490	Unreliable
	"< 1 year"	"1"	"Female"	"F"	"2006"	"2006"	"Diseases of the nervous system"	"G00-G98"	"White"	"2106-3"	35	443490	7.9
	"< 1 year"	"1"	"Female"	"F"	"2006"	"2006"	"Diseases of the circulatory system"	"I00-I99"	"White"	"2106-3"	50	443490	11.3
	"< 1 year"	"1"	"Female"	"F"	"2006"	"2006"	"Diseases of the respiratory system"	"J00-J98"	"White"	"2106-3"	52	443490	11.7
	"< 1 year"	"1"	"Female"	"F"	"2006"	"2006"	"Diseases of the digestive system"	"K00-K92"	"White"	"2106-3"	44	443490	9.9
	"< 1 year"	"1"	"Female"	"F"	"2006"	"2006"	"Diseases of the genitourinary system"	"N00-N98"	"White"	"2106-3"	18	443490	Unreliable
	"< 1 year"	"1"	"Female"	"F"	"2006"	"2006"	"Certain conditions originating in the perinatal period"	"P00-P96"	"Black or African American"	"2054-5"	70	33830	206.9
	"< 1 year"	"1"	"Female"	"F"	"2006"	"2006"	"Certain conditions originating in the perinatal period"	"P00-P96"	"White"	"2106-3"	1149	443490	259.1
	"< 1 year"	"1"	"Female"	"F"	"2006"	"2006"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"Black or African American"	"2054-5"	25	33830	73.9
	"< 1 year"	"1"	"Female"	"F"	"2006"	"2006"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"White"	"2106-3"	669	443490	150.8
	"< 1 year"	"1"	"Female"	"F"	"2006"	"2006"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	"Black or African American"	"2054-5"	13	33830	Unreliable
	"< 1 year"	"1"	"Female"	"F"	"2006"	"2006"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	"White"	"2106-3"	184	443490	41.5
	"< 1 year"	"1"	"Female"	"F"	"2006"	"2006"	"External causes of morbidity and mortality"	"V01-Y89"	"White"	"2106-3"	112	443490	25.3
	"< 1 year"	"1"	"Female"	"F"	"2007"	"2007"	"Certain infectious and parasitic diseases"	"A00-B99"	"White"	"2106-3"	52	462015	11.3
	"< 1 year"	"1"	"Female"	"F"	"2007"	"2007"	"Neoplasms"	"C00-D48"	"White"	"2106-3"	23	462015	5.0
	"< 1 year"	"1"	"Female"	"F"	"2007"	"2007"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	"White"	"2106-3"	17	462015	Unreliable
	"< 1 year"	"1"	"Female"	"F"	"2007"	"2007"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"White"	"2106-3"	21	462015	4.5
	"< 1 year"	"1"	"Female"	"F"	"2007"	"2007"	"Diseases of the nervous system"	"G00-G98"	"White"	"2106-3"	37	462015	8.0
	"< 1 year"	"1"	"Female"	"F"	"2007"	"2007"	"Diseases of the circulatory system"	"I00-I99"	"White"	"2106-3"	62	462015	13.4
	"< 1 year"	"1"	"Female"	"F"	"2007"	"2007"	"Diseases of the respiratory system"	"J00-J98"	"White"	"2106-3"	41	462015	8.9
	"< 1 year"	"1"	"Female"	"F"	"2007"	"2007"	"Diseases of the digestive system"	"K00-K92"	"White"	"2106-3"	51	462015	11.0
	"< 1 year"	"1"	"Female"	"F"	"2007"	"2007"	"Diseases of the genitourinary system"	"N00-N98"	"White"	"2106-3"	14	462015	Unreliable
	"< 1 year"	"1"	"Female"	"F"	"2007"	"2007"	"Certain conditions originating in the perinatal period"	"P00-P96"	"Asian or Pacific Islander"	"A-PI"	18	9948	Unreliable
	"< 1 year"	"1"	"Female"	"F"	"2007"	"2007"	"Certain conditions originating in the perinatal period"	"P00-P96"	"Black or African American"	"2054-5"	44	34379	128.0
	"< 1 year"	"1"	"Female"	"F"	"2007"	"2007"	"Certain conditions originating in the perinatal period"	"P00-P96"	"White"	"2106-3"	1217	462015	263.4
	"< 1 year"	"1"	"Female"	"F"	"2007"	"2007"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"Black or African American"	"2054-5"	18	34379	Unreliable
	"< 1 year"	"1"	"Female"	"F"	"2007"	"2007"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"White"	"2106-3"	704	462015	152.4
	"< 1 year"	"1"	"Female"	"F"	"2007"	"2007"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	"Black or African American"	"2054-5"	15	34379	Unreliable
	"< 1 year"	"1"	"Female"	"F"	"2007"	"2007"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	"White"	"2106-3"	214	462015	46.3
	"< 1 year"	"1"	"Female"	"F"	"2007"	"2007"	"External causes of morbidity and mortality"	"V01-Y89"	"White"	"2106-3"	120	462015	26.0
	"< 1 year"	"1"	"Female"	"F"	"2008"	"2008"	"Certain infectious and parasitic diseases"	"A00-B99"	"White"	"2106-3"	54	461101	11.7
	"< 1 year"	"1"	"Female"	"F"	"2008"	"2008"	"Neoplasms"	"C00-D48"	"White"	"2106-3"	18	461101	Unreliable
	"< 1 year"	"1"	"Female"	"F"	"2008"	"2008"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"White"	"2106-3"	25	461101	5.4
	"< 1 year"	"1"	"Female"	"F"	"2008"	"2008"	"Diseases of the nervous system"	"G00-G98"	"White"	"2106-3"	30	461101	6.5
	"< 1 year"	"1"	"Female"	"F"	"2008"	"2008"	"Diseases of the circulatory system"	"I00-I99"	"White"	"2106-3"	56	461101	12.1
	"< 1 year"	"1"	"Female"	"F"	"2008"	"2008"	"Diseases of the respiratory system"	"J00-J98"	"White"	"2106-3"	53	461101	11.5
	"< 1 year"	"1"	"Female"	"F"	"2008"	"2008"	"Diseases of the digestive system"	"K00-K92"	"White"	"2106-3"	58	461101	12.6
	"< 1 year"	"1"	"Female"	"F"	"2008"	"2008"	"Diseases of the genitourinary system"	"N00-N98"	"White"	"2106-3"	21	461101	4.6
	"< 1 year"	"1"	"Female"	"F"	"2008"	"2008"	"Certain conditions originating in the perinatal period"	"P00-P96"	"Black or African American"	"2054-5"	70	34480	203.0
	"< 1 year"	"1"	"Female"	"F"	"2008"	"2008"	"Certain conditions originating in the perinatal period"	"P00-P96"	"White"	"2106-3"	1127	461101	244.4
	"< 1 year"	"1"	"Female"	"F"	"2008"	"2008"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"Black or African American"	"2054-5"	15	34480	Unreliable
	"< 1 year"	"1"	"Female"	"F"	"2008"	"2008"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"White"	"2106-3"	680	461101	147.5
	"< 1 year"	"1"	"Female"	"F"	"2008"	"2008"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	"Black or African American"	"2054-5"	10	34480	Unreliable
	"< 1 year"	"1"	"Female"	"F"	"2008"	"2008"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	"White"	"2106-3"	225	461101	48.8
	"< 1 year"	"1"	"Female"	"F"	"2008"	"2008"	"External causes of morbidity and mortality"	"V01-Y89"	"White"	"2106-3"	98	461101	21.3
	"< 1 year"	"1"	"Female"	"F"	"2009"	"2009"	"Certain infectious and parasitic diseases"	"A00-B99"	"White"	"2106-3"	62	445294	13.9
	"< 1 year"	"1"	"Female"	"F"	"2009"	"2009"	"Neoplasms"	"C00-D48"	"White"	"2106-3"	13	445294	Unreliable
	"< 1 year"	"1"	"Female"	"F"	"2009"	"2009"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"White"	"2106-3"	27	445294	6.1
	"< 1 year"	"1"	"Female"	"F"	"2009"	"2009"	"Diseases of the nervous system"	"G00-G98"	"White"	"2106-3"	31	445294	7.0
	"< 1 year"	"1"	"Female"	"F"	"2009"	"2009"	"Diseases of the circulatory system"	"I00-I99"	"White"	"2106-3"	63	445294	14.1
	"< 1 year"	"1"	"Female"	"F"	"2009"	"2009"	"Diseases of the respiratory system"	"J00-J98"	"White"	"2106-3"	47	445294	10.6
	"< 1 year"	"1"	"Female"	"F"	"2009"	"2009"	"Diseases of the digestive system"	"K00-K92"	"White"	"2106-3"	16	445294	Unreliable
	"< 1 year"	"1"	"Female"	"F"	"2009"	"2009"	"Diseases of the genitourinary system"	"N00-N98"	"White"	"2106-3"	14	445294	Unreliable
	"< 1 year"	"1"	"Female"	"F"	"2009"	"2009"	"Certain conditions originating in the perinatal period"	"P00-P96"	"American Indian or Alaska Native"	"1002-5"	10	17714	Unreliable
	"< 1 year"	"1"	"Female"	"F"	"2009"	"2009"	"Certain conditions originating in the perinatal period"	"P00-P96"	"Asian or Pacific Islander"	"A-PI"	20	10668	187.5
	"< 1 year"	"1"	"Female"	"F"	"2009"	"2009"	"Certain conditions originating in the perinatal period"	"P00-P96"	"Black or African American"	"2054-5"	67	33518	199.9
	"< 1 year"	"1"	"Female"	"F"	"2009"	"2009"	"Certain conditions originating in the perinatal period"	"P00-P96"	"White"	"2106-3"	1051	445294	236.0
	"< 1 year"	"1"	"Female"	"F"	"2009"	"2009"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"Black or African American"	"2054-5"	11	33518	Unreliable
	"< 1 year"	"1"	"Female"	"F"	"2009"	"2009"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"White"	"2106-3"	623	445294	139.9
	"< 1 year"	"1"	"Female"	"F"	"2009"	"2009"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	"Black or African American"	"2054-5"	15	33518	Unreliable
	"< 1 year"	"1"	"Female"	"F"	"2009"	"2009"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	"White"	"2106-3"	201	445294	45.1
	"< 1 year"	"1"	"Female"	"F"	"2009"	"2009"	"External causes of morbidity and mortality"	"V01-Y89"	"White"	"2106-3"	104	445294	23.4
	"< 1 year"	"1"	"Female"	"F"	"2010"	"2010"	"Certain infectious and parasitic diseases"	"A00-B99"	"White"	"2106-3"	65	435361	14.9
	"< 1 year"	"1"	"Female"	"F"	"2010"	"2010"	"Neoplasms"	"C00-D48"	"White"	"2106-3"	11	435361	Unreliable
	"< 1 year"	"1"	"Female"	"F"	"2010"	"2010"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	"White"	"2106-3"	13	435361	Unreliable
	"< 1 year"	"1"	"Female"	"F"	"2010"	"2010"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"White"	"2106-3"	16	435361	Unreliable
	"< 1 year"	"1"	"Female"	"F"	"2010"	"2010"	"Diseases of the nervous system"	"G00-G98"	"White"	"2106-3"	31	435361	7.1
	"< 1 year"	"1"	"Female"	"F"	"2010"	"2010"	"Diseases of the circulatory system"	"I00-I99"	"White"	"2106-3"	36	435361	8.3
	"< 1 year"	"1"	"Female"	"F"	"2010"	"2010"	"Diseases of the respiratory system"	"J00-J98"	"White"	"2106-3"	36	435361	8.3
	"< 1 year"	"1"	"Female"	"F"	"2010"	"2010"	"Diseases of the digestive system"	"K00-K92"	"White"	"2106-3"	26	435361	6.0
	"< 1 year"	"1"	"Female"	"F"	"2010"	"2010"	"Diseases of the genitourinary system"	"N00-N98"	"White"	"2106-3"	11	435361	Unreliable
	"< 1 year"	"1"	"Female"	"F"	"2010"	"2010"	"Certain conditions originating in the perinatal period"	"P00-P96"	"Asian or Pacific Islander"	"A-PI"	10	10703	Unreliable
	"< 1 year"	"1"	"Female"	"F"	"2010"	"2010"	"Certain conditions originating in the perinatal period"	"P00-P96"	"Black or African American"	"2054-5"	50	32931	151.8
	"< 1 year"	"1"	"Female"	"F"	"2010"	"2010"	"Certain conditions originating in the perinatal period"	"P00-P96"	"White"	"2106-3"	1002	435361	230.2
	"< 1 year"	"1"	"Female"	"F"	"2010"	"2010"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"Black or African American"	"2054-5"	17	32931	Unreliable
